Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Gregor Kobel,GK,1,Switzerland,27,28,0,0,2520,0,8,3,0,No,Primary keeper with most starts([turn1search11](#citation))
Patrick Drewes,GK,30,Germany,28,3,0,0,270,0,1,1,0,No,Backup keeper([turn1search11](#citation))
Silas Ostrzinski,GK,31,Germany,0,0,0,0,0,0,0,0,0,No,Third GK([turn1search11](#citation))
Yan Couto,DEF,2,Brazil,24,29,1,3,?,4,0,3,0,No,Right‑back with assists([turn0search9](#citation))
Nico Schlotterbeck,DEF,4,Germany,25,27,4,1,?,5,0,4,0,No,Center‑back with goals([turn1search3](#citation))
Waldemar Anton,DEF,?,Germany,28,23,2,1,?,3,0,4,0,No,Defender rotation([turn1search3](#citation))
Ramy Bensebaini,DEF,5,Algeria,31,25,4,0,?,4,0,3,0,No,Left‑back with goals([turn1search3](#citation))
Julian Ryerson,DEF,26,Norway,29,28,3,11,?,14,0,2,0,No,Assist leader among defenders([turn1search3](#citation))
Salih Özcan,MID,8,Turkey,26,26,3,0,?,3,0,3,0,No,Box‑to‑box mid([turn1search3](#citation))
Julian Brandt,MID,10,Germany,29,24,6,4,?,10,0,3,0,No,Creative midfielder/forward goals contributor([turn0search24](#citation)
Maximilian Beier,FWD,14,Germany,23,28,8,7,?,15,0,5,0,No,Second top scorer([turn0search24](#citation))
Serhou Guirassy,FWD,9,Guinea,30,29,13,4,?,17,0,4,0,No,Top Dortmund scorer([turn0search24](#citation))
Karim Adeyemi,FWD,27,Germany,24,26,6,5,?,11,0,3,0,No,Attacking winger/striker([turn0search24](#citation))
Fábio Silva,FWD,21,Portugal,23,24,1,5,?,6,0,2,0,No,Goal + assist contributor([turn0search24](#citation))
Felix Nmecha,MID,8,England,25,25,2,3,?,5,0,4,0,No,Midfield attacker([turn0search24](#citation))
Daniel Svensson,DEF,24,Sweden,25,23,2,2,?,4,0,3,0,No,Rotation defender([turn0search24](#citation))
Other Squad Players,Various,0,Various,0,0,0,0,0,0,0,0,Yes,Rotation & youth options([turn1search11](#citation))
