Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Diant Ramaj,GK,41,Germany,24,24,0,0,2160,0,5,2,0,No,Main goalkeeper starter this season:contentReference[oaicite:1]{index=1}
Paul Tschernuth,GK,34,Austria,24,1,0,0,90,0,0,0,0,No,Backup keeper with few apps:contentReference[oaicite:2]{index=2}
Frank Feller,GK,40,Germany,21,3,0,0,270,0,1,1,0,No,Third keeper with occasional apps:contentReference[oaicite:3]{index=3}
Patrick Mainka,DEF,6,Germany,31,25,1,1,?,2,0,5,0,No,Defensive leader with most apps:contentReference[oaicite:4]{index=4}
Marnon Busch,DEF,2,Germany,30,21,0,2,?,2,0,5,0,No,Full‑back contributing assists:contentReference[oaicite:5]{index=5}
Tim Siersleben,DEF,4,Germany,25,23,0,0,?,0,0,4,0,No,Center‑back rotation:contentReference[oaicite:6]{index=6}
Benedikt Gimber,DEF,5,Germany,28,22,0,0,?,0,0,6,0,No,Defender with most bookings:contentReference[oaicite:7]{index=7}
Jonas Föhrenbach,DEF,19,Germany,29,23,1,1,?,2,0,3,0,No,Left‑back with goals & assists:contentReference[oaicite:8]{index=8}
Hennes Behrens,DEF,?,Germany,21,?,1,2,?,3,0,?,0,Yes,Young defender with goals + assists:contentReference[oaicite:9]{index=9}
Omar Traoré,DEF,23,Germany/Togo,27,23,1,2,?,3,0,4,0,No,Defender with offensive output:contentReference[oaicite:10]{index=10}
Jan Schöppner,MID,3,Germany,26,23,1,1,?,2,0,4,0,Yes,Midfield with goal + assist:contentReference[oaicite:11]{index=11}
Julian Niehues,MID,16,Germany,24,21,3,1,?,4,0,3,0,No,Scoring midfield starter:contentReference[oaicite:12]{index=12}
Luca Kerber,MID,20,Germany,23,20,2,1,?,3,0,3,0,No,Midfield contributor:contentReference[oaicite:13]{index=13}
Arijon Ibrahimović,MID,22,Germany/Kosovo,19,24,0,2,?,2,0,2,0,Yes,Creative midfielder leading assists:contentReference[oaicite:14]{index=14}
Adrian Beck,MID,21,Germany,28,23,4,1,?,5,0,3,0,No,Midfield goal scorer:contentReference[oaicite:15]{index=15}
Sirlord Conteh,FWD,31,Germany,25,23,2,1,?,3,0,3,0,No,Forward with goals & assists:contentReference[oaicite:16]{index=16}
Stefan Schimmer,FWD,9,Germany,31,25,5,1,?,6,0,3,0,No,Top scorer this season (~5):contentReference[oaicite:17]{index=17}
Marvin Pieringer,FWD,18,Germany,26,22,2,1,?,3,0,2,0,No,Supporting striker with goals:contentReference[oaicite:18]{index=18}
Mathias Honsak,FWD,17,Austria,28,21,3,0,?,3,0,3,0,No,Forward with goal contributions:contentReference[oaicite:19]{index=19}
Mikkel Kaufmann,FWD,29,Denmark,24,23,2,1,?,3,0,3,0,No,Attacking forward depth:contentReference[oaicite:20]{index=20}
Budu Zivzivadze,FWD,11,Georgia,31,21,1,0,?,1,0,3,0,No,Veteran striker with a goal:contentReference[oaicite:21]{index=21}
Adam Kölle,DEF/MID,28,Germany,19,10,1,0,?,1,0,1,0,Yes,Young defender rotation:contentReference[oaicite:22]{index=22}
Other Squad Players,Various,0,Various,0,0,0,0,0,0,0,0,Yes/No,Rotation & youth (no apps):contentReference[oaicite:23]{index=23}
