Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Péter Gulácsi,GK,1,Hungary,35,26,0,0,2340,0,9,2,0,No,First‑choice keeper with clean sheets in league:contentReference[oaicite:1]{index=1}
Leopold Zingerle,GK,12,Germany,34,4,0,0,360,0,1,1,0,No,Backup keeper:contentReference[oaicite:2]{index=2}
Maarten Vandevoordt,GK,22,Belgium,22,4,0,0,360,0,0,0,0,No,Young keeper depth:contentReference[oaicite:3]{index=3}
Willi Orbán,DEF,4,Hungary,32,25,1,0,2229,1,0,6,0,No,Experienced centre‑back with goal threat:contentReference[oaicite:4]{index=4}
El Chadaille Bitshiabu,DEF,5,France,18,20,0,0,?,0,0,3,0,No,Young defender starter:contentReference[oaicite:5]{index=5}
Lukas Klostermann,DEF,16,Germany,28,22,1,1,?,2,0,4,0,No,Right‑back rotation:contentReference[oaicite:6]{index=6}
Kosta Nedeljković,DEF,30,Serbia,20,18,0,1,?,1,0,3,0,No,Defensive squad option:contentReference[oaicite:7]{index=7}
David Raum,DEF,18,Germany,27,24,3,5,2122,8,0,4,0,No,Attack‑oriented full‑back (assist threat):contentReference[oaicite:8]{index=8}
Castello Lukeba,DEF,3,France,23,23,2,0,?,2,0,2,0,No,Center‑back starter:contentReference[oaicite:9]{index=9}
Benjamin Henrichs,DEF,15,Germany,27,19,0,0,?,0,0,3,0,No,Full‑back rotation:contentReference[oaicite:10]{index=10}
Ezechiel Banzuzi,MID,14,France,21,20,2,3,?,5,0,3,0,No,Midfield contributor:contentReference[oaicite:11]{index=11}
Brajan Gruda,MID,10,Germany,21,18,3,0,?,3,0,2,0,No,Creative mid (signed this season):contentReference[oaicite:12]{index=12}
Nicolas Seiwald,MID,8,Austria,25,23,2,1,?,3,0,3,0,No,Box‑to‑box midfielder:contentReference[oaicite:13]{index=13}
Christoph Baumgartner,MID,14,Austria,26,25,10,6,?,16,0,4,0,No,Top scorer & assist provider:contentReference[oaicite:14]{index=14}
Ridle Baku,MID,7,Germany,28,21,1,2,?,3,0,4,0,No,Wide midfielder/wing threat:contentReference[oaicite:15]{index=15}
Assan Ouédraogo,MID,42,Germany,19,20,3,1,?,4,0,3,0,Yes,Young central midfield contributor:contentReference[oaicite:16]{index=16}
Xaver Schlager,MID,25,Austria,27,20,1,1,?,2,0,2,0,No,Experienced central midfielder:contentReference[oaicite:17]{index=17}
Andrija Maksimović,MID,23,Serbia,23,15,0,1,?,1,0,2,0,No,Rotation midfield option:contentReference[oaicite:18]{index=18}
Benno Kaltefleiter,MID,33,Germany,18,3,0,0,90,0,0,0,0,Yes,Young midfielder (limited apps):contentReference[oaicite:19]{index=19}
Antonio Nusa,FWD,9,Norway,20,20,2,1,?,3,0,2,0,No,Forward rotation:contentReference[oaicite:20]{index=20}
Johan Bakayoko,FWD,11,Belgium,21,18,3,1,?,4,0,3,0,No,Attacking option:contentReference[oaicite:21]{index=21}
Rômulo,FWD,40,Brazil,23,22,7,0,?,7,0,3,0,No,Scoring forward contributor:contentReference[oaicite:22]{index=22}
Yan Diomande,FWD,17,Ivory Coast,19,26,10,5,?,15,0,3,0,No,Key scorer & creator (injured recently):contentReference[oaicite:23]{index=23}
Conrad Harder,FWD,30,Denmark,20,10,0,1,?,1,0,1,0,No,Young forward squad cover:contentReference[oaicite:24]{index=24}
Suleman Sani,FWD,39,Gambia,20,8,0,0,?,0,0,1,0,No,Forward depth:contentReference[oaicite:25]{index=25}
Ayodele Thomas,FWD,47,Nigeria,21,6,1,0,?,1,0,1,0,No,Backup forward:contentReference[oaicite:26]{index=26}
Tidiam Gomis,FWD,80,France,22,12,1,1,?,2,0,2,0,No,Subs forward option:contentReference[oaicite:27]{index=27}
Rômulo Samba Konaté,FWD,36,France,17,2,0,0,?,0,0,0,0,No,Young striker with few apps:contentReference[oaicite:28]{index=28}
