Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Mark Flekken,GK,1,Netherlands,32,26,0,0,2340,0,7,3,0,No,Main Bundesliga keeper with clean sheets this season([turn1search14](#citation))
Janis Blaswich,GK,28,Germany,34,3,0,0,270,0,1,1,0,No,Backup keeper plays rotation([turn1search14](#citation))
Niklas Lomb,GK,36,Germany,32,0,0,0,0,0,0,0,0,No,Third GK([turn1search14](#citation))
Jesper Schlich,GK,40,Germany,?,0,0,0,0,0,0,0,0,Yes,Youth keeper([turn1search14](#citation))
Alejandro Grimaldo,DEF,20,Spain,29,24,10,10,?,20,0,4,0,No,Creative left‑back with goals & assists([turn1search8](#citation))
Edmond Tapsoba,DEF,?,Burkina Faso,32,25,4,2,?,6,0,3,0,No,CB with contributions in attack([turn1search8](#citation))
Loïc Badé,DEF,?,France,25,26,0,0,?,0,0,2,0,No,Center‑back starter([turn1search14](#citation))
Arthur,DEF,?,Brazil,24,22,1,3,?,4,0,2,0,No,Versatile defender([turn1search8](#citation))
Patrik Schick,FWD,14,Czechia,30,25,9,2,?,11,0,4,0,No,Top scorer this season([turn1search0](#citation))
Ernest Poku,FWD,?,Netherlands,22,24,7,0,?,7,0,3,0,No,Attacking threat([turn1search12](#citation))
Aleix García,MID,24,Spain,28,27,4,6,?,10,0,5,0,No,Creative midfielder/assist leader([turn1search8](#citation))
Exequiel Palacios,MID,25,Argentina,27,26,4,0,?,4,0,3,0,No,Midfield goals contributor([turn1search8](#citation))
Malik Tillman,MID,10,USA,23,26,7,4,?,11,0,4,0,No,Box‑to‑box with goals & assists([turn1search8](#citation))
Alejandro Maza,MID,30,Spain,33,23,2,5,?,7,0,2,0,No,Creative rotation midfielder([turn1search8](#citation))
Robert Andrich,MID,8,Germany,31,24,2,0,?,6,0,4,0,No,Experienced workhorse([turn1search8](#citation))
Ezequiel Fernández,MID,6,Argentina,23,24,0,0,?,0,0,3,0,No,Defensive midfield([turn1search8](#citation))
Jonas Hofmann,MID,?,Germany,31,22,2,2,?,4,0,2,0,No,Wide midfield/wing threat([turn1search8](#citation))
Other Squad Players,Various,0,Various,0,0,0,0,0,0,0,0,Yes,Rotation & youth players([turn1search14](#citation))
