Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Robin Zentner,GK,27,Germany,30,25,0,0,2250,0,8,3,0,Yes,First‑choice keeper with most league starts :contentReference[oaicite:1]{index=1}
Daniel Batz,GK,33,Germany,34,8,0,0,720,0,3,1,0,No,Backup keeper with some league minutes :contentReference[oaicite:2]{index=2}
Lasse Rieß,GK,1,Germany,24,3,0,0,270,0,1,0,0,Yes,Third keeper getting cup/sub apps :contentReference[oaicite:3]{index=3}
Nadiem Amiri,MID,10,Germany,28,20,10,1,1651,11,0,5,0,No,Club’s top scorer this season :contentReference[oaicite:4]{index=4}
Lee Jae‑Sung,MID,7,South Korea,33,23,3,2,1913,5,0,4,0,No,Attacking midfield contributor :contentReference[oaicite:5]{index=5}
Danny da Costa,DEF,21,Germany,31,25,2,3,2021,5,0,4,0,No,Full‑back with goals/assists :contentReference[oaicite:6]{index=6}
Silvan Widmer,DEF,30,Switzerland,32,19,2,1,1336,3,0,3,0,No,Right‑back scoring/assist contributions :contentReference[oaicite:7]{index=7}
Stefan Bell,DEF,16,Germany,33,18,2,0,1041,2,0,2,0,No,Center‑back with goals :contentReference[oaicite:8]{index=8}
Phillip Mwene,DEF,2,Austria,31,?,0,0,?,0,0,2,0,No,Defender rotation option :contentReference[oaicite:9]{index=9}
Andreas Hanche‑Olsen,DEF,25,Norway,29,?,0,0,?,0,0,?,0,No,CB covering minutes :contentReference[oaicite:10]{index=10}
Maxim Leitsch,DEF,18,Germany,26,?,0,0,?,0,0,?,0,No,Defensive squad depth :contentReference[oaicite:11]{index=11}
Kaishu Sano,MID,24,Japan,24,25,1,1,2249,2,0,3,0,No,Midfield with goals & minutes :contentReference[oaicite:12]{index=12}
Paul Nebel,MID,8,Germany,23,21,1,1,1324,2,0,3,0,Yes,Winger rotation with contributions :contentReference[oaicite:13]{index=13}
Armindo Sieb,FWD,11,Germany,23,16,2,0,433,2,0,1,0,No,Forward rotation/impact sub :contentReference[oaicite:14]{index=14}
Phillip Tietz,FWD,20,Germany,28,20,2,0,1057,2,0,2,0,No,Goal contributions from attack :contentReference[oaicite:15]{index=15}
Benedict Hollerbach,FWD,17,Germany,24,14,1,0,882,1,0,2,0,No,Forward in rotation :contentReference[oaicite:16]{index=16}
Sheraldo Becker,FWD,23,Suriname,31,5,1,0,245,1,0,0,0,No,Scored in limited time :contentReference[oaicite:17]{index=17}
William Bøving,FWD,14,Denmark,23,?,0,0,?,0,0,0,0,No,Attacking depth player :contentReference[oaicite:18]{index=18}
Nelson Weiper,FWD,44,Germany,20,?,0,0,?,0,0,0,0,Yes,Young forward option :contentReference[oaicite:19]{index=19}
Lennard Maloney,MID,15,Germany,25,?,0,0,?,0,0,?,0,No,Defensive midfield cover :contentReference[oaicite:20]{index=20}
