Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Moritz Nicolas,GK,33,Germany,28,27,0,0,2430,0,9,2,0,No,First‑choice keeper with most apps this season:contentReference[oaicite:1]{index=1}
Tiago Pereira Cardoso,GK,42,Luxembourg,19,10,0,0,900,0,3,1,0,No,Backup keeper rotation:contentReference[oaicite:2]{index=2}
Tobias Sippel,GK,21,Germany,38,6,0,0,540,0,1,1,0,Yes,Veteran keeper with some games:contentReference[oaicite:3]{index=3}
Fabio Chiarodia,DEF,2,Italy,20,21,0,0,1710,0,0,2,0,No,Young centre‑back starter:contentReference[oaicite:4]{index=4}
Kevin Diks,DEF,4,Netherlands/Indonesia,29,24,4,0,?,4,0,5,0,No,Top scorer from defence (4):contentReference[oaicite:5]{index=5}
Marvin Friedrich,DEF,5,Germany,30,22,0,0,?,0,0,3,0,No,Experienced centre‑back:contentReference[oaicite:6]{index=6}
Kōta Takai,DEF,14,Japan,21,18,0,0,?,0,0,2,0,No,Defender with minutes:contentReference[oaicite:7]{index=7}
Lukas Ullrich,DEF,26,Germany,22,18,0,2,?,2,0,2,0,No,Full‑back with assists:contentReference[oaicite:8]{index=8}
Joe Scally,DEF,29,USA,23,25,1,3,?,4,0,6,0,No,Right‑back with goals & assists:contentReference[oaicite:9]{index=9}
Nico Elvedi,DEF,30,Switzerland,29,27,0,0,2430,0,0,2,0,No,Defensive stalwart:contentReference[oaicite:10]{index=10}
Yannik Engelhardt,MID,6,Germany,24,24,2,1,?,3,0,5,0,No,Midfield scorer & creator:contentReference[oaicite:11]{index=11}
Kevin Stöger,MID,7,Austria,32,21,1,1,?,2,0,3,0,No,Attacking midfield contributor:contentReference[oaicite:12]{index=12}
Franck Honorat,MID,9,France,25,20,1,6,?,7,0,3,0,No,Assist leader this season:contentReference[oaicite:13]{index=13}
Florian Neuhaus,MID,10,Germany,29,16,0,1,?,1,0,1,0,No,Creative midfielder:contentReference[oaicite:14]{index=14}
Giovanni Reyna,MID,13,USA,23,13,0,0,?,0,0,1,0,No,Playmaker role:contentReference[oaicite:15]{index=15}
Philipp Sander,MID,16,Germany,28,22,2,0,?,2,0,1,0,No,Midfield goals:contentReference[oaicite:16]{index=16}
Jens Castrop,MID,17,South Korea,22,23,3,0,?,3,0,2,0,No,Midfield with goal threat:contentReference[oaicite:17]{index=17}
Wael Mohya,MID,36,Germany/Morocco,18,1,0,0,?,1,0,1,0,No,Young midfield option:contentReference[oaicite:18]{index=18}
Hugo Bolin,MID,38,Sweden,22,7,0,0,?,0,0,0,0,No,Squad rotation midfielder:contentReference[oaicite:19]{index=19}
Shūto Machino,FWD,?,Japan,25,26,3,0,?,3,0,1,0,No,Forward key scorer:contentReference[oaicite:20]{index=20}
Haris Tabaković,FWD,15,Bosnia/Switzerland,31,25,11,2,?,13,0,2,0,No,Top scorer by far (11):contentReference[oaicite:21]{index=21}
Grant‑Leon Ranos,FWD,28,Germany/Armenia,22,8,1,0,?,1,0,0,0,No,Supporting forward:contentReference[oaicite:22]{index=22}
Jan Urbich,FWD,?,?,?,3,0,0,?,0,0,0,0,No,Young squad forward:contentReference[oaicite:23]{index=23}
Alejo Sarco,FWD,?,?,?,?,0,0,?,0,0,0,0,No,Loan forward depth:contentReference[oaicite:24]{index=24}
