Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Mio Backhaus,GK,30,Germany,21,25,0,0,2160,0,3,0,0,No,First‑choice keeper with most starts & clean sheets so far :contentReference[oaicite:1]{index=1}
Karl Hein,GK,13,Estonia,23,2,0,0,180,0,1,0,0,No,Backup keeper with a few apps :contentReference[oaicite:2]{index=2}
Markus Kolke,GK,25,Germany,35,8,0,0,720,0,0,1,0,No,Third choice keeper & rotation :contentReference[oaicite:3]{index=3}
Yukinari Sugawara,DEF,3,Japan,25,25,1,4,?,5,0,9,1,0,No,Regular defender with assists top among defenders :contentReference[oaicite:4]{index=4}
Niklas Stark,DEF,4,Germany,30,12,4,0,?,4,0,7,0,0,No,Goal threat from defense :contentReference[oaicite:5]{index=5}
Amos Pieper,DEF,5,Germany,28,12,0,0,?,0,0,7,0,0,No,Center‑back starter :contentReference[oaicite:6]{index=6}
Felix Agu,DEF,27,Nigeria,27,9,0,0,?,0,0,1,0,0,No,Rotation defender :contentReference[oaicite:7]{index=7}
Abdoul Karim Coulibaly,DEF,31,Germany,18,20,1,0,?,1,0,5,0,1,Yes,Young defender with goal contribution :contentReference[oaicite:8]{index=8}
Marco Friedl,DEF,32,Austria,28,25,1,0,?,1,0,7,0,0,No,Versatile defender with goal :contentReference[oaicite:9]{index=9}
Senne Lynen,MID,14,Belgium,27,24,0,0,?,0,0,4,0,0,No,Midfield engine with minutes :contentReference[oaicite:10]{index=10}
Jens Stage,MID,6,Denmark,29,24,7,2,?,9,0,5,0,0,No,Top club goal scorer this season :contentReference[oaicite:11]{index=11}
Romano Schmid,MID,20,Austria,26,27,2,7,?,9,0,4,0,0,No,Assist leader with creative output :contentReference[oaicite:12]{index=12}
Cameron Puertas,MID,18,Switzerland,27,22,0,1,?,1,0,4,0,0,No,Midfield rotation assist provider :contentReference[oaicite:13]{index=13}
Olivier Deman,DEF/MID,2,Belgium,25,13,1,1,?,2,0,4,0,0,No,Utility player with contributions :contentReference[oaicite:14]{index=14}
Justin Njinmah,FWD,11,Germany,25,26,5,0,?,5,0,17,0,0,No,Key forward with goals incred :contentReference[oaicite:15]{index=15}
Samuel Mbangula,FWD,7,Belgium,22,20,3,2,?,5,0,7,0,0,No,Supporting attacker :contentReference[oaicite:16]{index=16}
Marco Grüll,FWD,17,Austria,27,27,3,1,?,4,0,4,0,0,No,Important forward with goals & assist :contentReference[oaicite:17]{index=17}
Jovan Milošević,FWD,19,Serbia,20,9,2,0,?,2,0,1,0,0,No,Young forward contributor :contentReference[oaicite:18]{index=18}
Keke Topp,FWD,9,Germany,21,20,1,1,?,2,0,3,0,0,Yes,Young forward with goal/assist :contentReference[oaicite:19]{index=19}
Leonardo Bittencourt,MID,10,Germany,32,13,0,0,?,0,0,2,0,0,No,Veteran midfielder depth :contentReference[oaicite:20]{index=20}
Niklas ?? (others),Various,0,Various,0,0,0,0,0,0,0,0,0,Yes/No,Rotation & youth players without league apps :contentReference[oaicite:21]{index=21}
