Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Kamil Grabara,GK,1,Poland,27,25,0,0,2250,0,1,3,0,No,First‑choice keeper, most starts this season :contentReference[oaicite:1]{index=1}
Pavao Pervan,GK,12,Austria,38,4,0,0,360,0,0,1,0,No,Backup keeper with some apps :contentReference[oaicite:2]{index=2}
Marius Müller,GK,31,Germany,28,0,0,0,0,0,0,0,0,Yes,Third keeper, no league apps :contentReference[oaicite:3]{index=3}
Kilian Fischer,DEF,3,Germany,25,21,0,0,?,0,0,3,0,No,Defender starter :contentReference[oaicite:4]{index=4}
Denis Vavro,DEF,4,Slovakia,30,20,1,0,?,1,0,5,0,No,Goal threat from defense :contentReference[oaicite:5]{index=5}
Konstantinos Koulierakis,DEF,5,Greece,21,21,1,0,?,1,0,2,0,No,Young defender with goal contribution :contentReference[oaicite:6]{index=6}
Joakim Mæhle,DEF,14,Denmark,28,24,1,1,?,2,0,4,0,No,Assist output from defense :contentReference[oaicite:7]{index=7}
Saël Kumbedi,DEF,26,France,20,17,3,5,?,8,0,3,0,No,Top assist maker among defenders :contentReference[oaicite:8]{index=8}
Jenson Seelt,DEF,28,Netherlands,19,9,0,0,?,0,0,1,0,No,Young defender rotation :contentReference[oaicite:9]{index=9}
Moritz Jenz,DEF,32,Germany,26,17,1,0,?,1,0,4,0,No,Center‑back contribution :contentReference[oaicite:10]{index=10}
Christian Eriksen,MID,24,Denmark,33,22,2,5,?,7,0,3,0,No,Top creative force with most assists :contentReference[oaicite:11]{index=11}
Maximilian Arnold,MID,27,Germany,31,21,1,4,?,5,0,5,0,Yes,Veteran mid with goals & assists :contentReference[oaicite:12]{index=12}
Lovro Majer,MID,17,Croatia,27,23,2,3,?,5,0,5,0,No,Creative midfielder with goals & assists :contentReference[oaicite:13]{index=13}
Mattias Svanberg,MID,22,Sweden,26,20,3,1,?,4,0,3,0,No,Scoring midfielder contributor :contentReference[oaicite:14]{index=14}
Patrick Wimmer,MID,11,Austria,23,17,3,3,?,6,0,2,0,No,Bright young midfielder output :contentReference[oaicite:15]{index=15}
Aaron Zehnter,MID,8,Germany,19,17,2,0,?,2,0,2,0,Yes,Young midfield contributor :contentReference[oaicite:16]{index=16}
Vinicius Souza,MID,6,Brazil,24,15,0,0,?,0,0,1,0,No,Defensive mid option :contentReference[oaicite:17]{index=17}
Yannick Gerhardt,MID,20,Germany,32,14,1,0,?,1,0,2,0,No,Experienced midfielder :contentReference[oaicite:18]{index=18}
Kento Shiogai,FWD,9,Japan,24,7,1,0,?,1,0,1,0,No,Forward depth scorer :contentReference[oaicite:19]{index=19}
Mohamed Amoura,FWD,10,Algeria,24,22,8,3,?,11,0,4,0,No,Top scorer for the club this season :contentReference[oaicite:20]{index=20}
Dženan Pejčinović,FWD,18,Serbia,19,22,5,0,?,5,0,3,0,No,Second top goalscorer :contentReference[oaicite:21]{index=21}
Adam Daghim,FWD,12,Denmark,20,19,2,2,?,4,0,2,0,No,Goal + assist contributor :contentReference[oaicite:22]{index=22}
Jonas Wind,FWD,7,Denmark,27,8,0,0,?,0,0,1,0,No,Forward squad option :contentReference[oaicite:23]{index=23}
Bruno Katz,FWD,27,Germany,25,0,0,0,0,0,0,0,0,No,Rotation striker (no league goals yet) :contentReference[oaicite:24]{index=24}
Trevor Benedict,FWD,30,Germany,0,0,0,0,0,0,0,0,0,No,Squad forward depth :contentReference[oaicite:25]{index=25}
Jan Bürger,DEF,41,Germany,18,6,0,0,?,0,0,0,0,Yes,Young homegrown full‑back with apps :contentReference[oaicite:26]{index=26}
