Ucl 2526 squads · CSV
Copy

Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Alisson Becker,GK,1,Brazil,33,34,1,2,3060,3,12,1,0,Yes,First-choice goalkeeper
Giorgi Mamardashvili,GK,25,Georgia,25,13,0,0,1170,0,4,0,0,No,Backup goalkeeper
Freddie Woodman,GK,28,England,29,1,0,0,90,0,0,0,0,Yes,Third-choice goalkeeper
Joe Gomez,DEF,2,England,28,40,0,3,3120,3,2,4,0,Yes,Versatile defender
Virgil van Dijk,DEF,4,Netherlands,34,45,5,1,4050,6,14,3,0,No,Captain
Ibrahima Konaté,DEF,5,France,26,42,2,1,3780,3,11,5,1,No,Centre-back
Milos Kerkez,DEF,6,Hungary,22,47,1,4,4230,5,9,6,0,No,Left-back
Conor Bradley,DEF,12,Northern Ireland,22,22,1,2,1650,3,1,2,0,Yes,Right-back
Jeremie Frimpong,DEF,30,Netherlands,25,28,2,5,2310,7,0,3,0,No,Right-back
Andy Robertson,DEF,26,Scotland,32,19,0,2,1440,2,0,1,0,No,Left-back Vice-captain
Ryan Gravenberch,MID,38,Netherlands,23,40,4,3,3120,7,0,5,0,No,Central midfielder
Alexis Mac Allister,MID,10,Argentina,27,45,2,8,3780,10,0,4,0,No,Central midfielder
Dominik Szoboszlai,MID,8,Hungary,25,29,5,3,1980,8,0,2,0,No,Attacking midfielder
Wataru Endo,MID,3,Japan,32,20,0,1,1260,1,0,3,0,No,Defensive midfielder
Curtis Jones,MID,17,England,24,27,3,2,1890,5,0,3,0,Yes,Central midfielder
Florian Wirtz,MID,7,Germany,22,20,2,6,1440,8,0,1,0,No,Attacking midfielder
Mohamed Salah,FWD,11,Egypt,33,34,10,9,2970,19,0,2,0,No,Right winger star player
Cody Gakpo,FWD,18,Netherlands,26,42,8,4,3150,12,0,3,0,No,Forward
Hugo Ekitiké,FWD,22,France,23,28,11,4,1890,15,0,2,0,No,Striker
Alex Isak,FWD,9,Sweden,26,30,14,3,2430,17,0,2,0,No,Striker
Federico Chiesa,FWD,14,Italy,27,32,3,3,1980,6,0,1,0,No,Winger
Rio Ngumoha,FWD,36,England,18,8,1,0,360,1,0,0,0,Yes,U21 forward
Trey Nyoni,MID,42,England,17,10,0,1,450,1,0,1,0,Yes,U21 midfielder
Giovanni Leoni,DEF,44,Italy,19,5,0,0,270,0,0,0,0,No,Young defender
Rhys Williams,DEF,46,England,24,3,0,0,180,0,0,0,0,Yes,U21 defender
Kornel Misciur,GK,74,England,18,0,0,0,0,0,0,0,0,Yes,U21 goalkeeper
Calvin Ramsay,DEF,23,Scotland,21,2,0,0,90,0,0,0,0,Yes,Right-back
Isaac Mabaya,DEF,66,England,20,1,0,0,45,0,0,0,0,Yes,U21 defender
Lewis Koumas,FWD,37,Wales,19,6,1,0,270,1,0,0,0,Yes,U21 forward
Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Ederson,GK,31,Brazil,31,32,0,0,2880,0,11,1,0,No,First-choice goalkeeper
Stefan Ortega,GK,18,Germany,32,10,0,0,900,0,3,0,0,No,Backup goalkeeper
Scott Carson,GK,33,England,40,1,0,0,90,0,0,0,0,Yes,Third-choice goalkeeper
Kyle Walker,DEF,2,England,35,20,0,1,1620,1,0,2,0,Yes,Right-back
Ruben Dias,DEF,3,Portugal,28,38,2,1,3420,3,13,3,0,No,Captain / centre-back
Manuel Akanji,DEF,25,Switzerland,30,34,1,0,2880,1,10,4,0,No,Centre-back
Josko Gvardiol,DEF,24,Croatia,23,42,5,4,3600,9,0,3,0,No,Left-back
Rico Lewis,DEF,82,England,21,22,1,3,1620,4,0,1,0,Yes,Right-back / midfielder
Jahmai Simpson-Pusey,DEF,77,England,19,5,0,0,270,0,0,0,0,Yes,Young defender
Sergio Gomez,DEF,21,Spain,24,8,0,1,540,1,0,1,0,No,Left-back
Rodri,MID,16,Spain,29,28,2,4,2340,6,0,3,0,No,Defensive midfielder
Kevin De Bruyne,MID,17,Belgium,34,25,3,10,2025,13,0,2,0,No,Attacking midfielder
Bernardo Silva,MID,20,Portugal,31,40,5,7,3240,12,0,2,0,No,Central midfielder
Matheus Nunes,MID,27,Portugal,27,28,2,3,1980,5,0,3,0,No,Midfielder
İlkay Gündoğan,MID,8,Germany,35,22,3,4,1620,7,0,1,0,No,Central midfielder
Phil Foden,MID,47,England,25,35,9,8,2790,17,0,2,0,Yes,Attacking midfielder
Erling Haaland,FWD,9,Norway,25,32,25,5,2700,30,0,3,0,No,Striker
Jeremy Doku,FWD,11,Belgium,23,30,6,9,2160,15,0,4,0,No,Winger
Jack Grealish,FWD,10,England,30,18,2,3,990,5,0,1,0,Yes,Winger
Omar Marmoush,FWD,19,Egypt,26,30,12,7,2340,19,0,2,0,No,Forward
Savinho,FWD,26,Brazil,21,28,5,6,1980,11,0,2,0,No,Winger
James McAtee,MID,53,England,23,8,1,0,360,1,0,0,0,Yes,Young midfielder
Oscar Bobb,FWD,52,Norway,22,10,2,1,540,3,0,0,0,No,Young winger
Nico O'Reilly,MID,76,England,20,6,0,1,270,1,0,0,0,Yes,Young midfielder
Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
David Raya,GK,22,Spain,30,35,0,0,3150,0,14,1,0,No,First-choice goalkeeper
Karl Hein,GK,31,Estonia,23,8,0,0,720,0,2,0,0,No,Backup goalkeeper
Aaron Ramsdale,GK,1,England,27,3,0,0,270,0,0,0,0,Yes,Third-choice goalkeeper
Ben White,DEF,4,England,28,38,1,4,3240,5,0,3,0,Yes,Right-back
William Saliba,DEF,12,France,24,40,3,1,3600,4,15,2,0,No,Centre-back
Gabriel Magalhães,DEF,6,Brazil,27,36,3,0,3240,3,12,5,1,No,Centre-back
Oleksandr Zinchenko,DEF,35,Ukraine,29,20,1,3,1620,4,0,2,0,No,Left-back
Jakub Kiwior,DEF,15,Poland,25,15,0,1,990,1,0,1,0,No,Defender
Riccardo Calafiori,DEF,33,Italy,23,25,1,2,1890,3,0,4,1,No,Defender
Jurrien Timber,DEF,2,Netherlands,24,28,2,3,2160,5,0,2,0,No,Versatile defender
Thomas Partey,MID,5,Ghana,32,22,1,2,1620,3,0,4,0,No,Defensive midfielder
Martin Ødegaard,MID,8,Norway,27,32,7,11,2700,18,0,1,0,No,Captain / attacking midfielder
Declan Rice,MID,41,England,27,42,6,5,3600,11,0,6,1,Yes,Central midfielder
Jorginho,MID,20,Italy,34,18,0,1,1080,1,0,2,0,No,Midfielder
Mikel Merino,MID,23,Spain,29,28,4,3,2160,7,0,3,0,No,Central midfielder
Leandro Trossard,MID,19,Belgium,31,30,7,5,2100,12,0,2,0,No,Attacking midfielder
Bukayo Saka,FWD,7,England,24,35,13,12,2970,25,0,2,0,Yes,Right winger
Kai Havertz,FWD,29,Germany,27,38,14,6,3060,20,0,3,0,No,Striker
Gabriel Martinelli,FWD,11,Brazil,24,32,9,5,2340,14,0,2,0,No,Left winger
Raheem Sterling,FWD,30,England,31,15,3,2,810,5,0,0,0,Yes,Winger
Ethan Nwaneri,MID,53,England,18,12,2,2,630,4,0,0,0,Yes,Young attacking midfielder
Myles Lewis-Skelly,DEF,59,England,19,10,0,1,540,1,0,1,0,Yes,Young defender
Lino Sousa,DEF,60,Portugal,19,5,0,0,225,0,0,0,0,No,Young defender
Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
André Onana,GK,24,Cameroon,30,36,0,0,3240,0,10,3,1,No,First-choice goalkeeper
Tom Heaton,GK,22,England,39,4,0,0,360,0,1,0,0,Yes,Backup goalkeeper
Altay Bayındır,GK,1,Turkey,27,6,0,0,540,0,2,0,0,No,Third-choice goalkeeper
Victor Lindelöf,DEF,2,Sweden,31,18,0,0,1260,0,0,2,0,No,Centre-back
Raphaël Varane,DEF,19,France,32,10,0,0,630,0,2,1,0,No,Centre-back
Harry Maguire,DEF,5,England,32,15,1,0,1080,1,0,2,0,Yes,Centre-back
Lisandro Martínez,DEF,6,Argentina,27,22,1,0,1890,1,0,3,0,No,Centre-back
Noussair Mazraoui,DEF,3,Morocco,28,30,1,2,2430,3,0,3,0,No,Right-back
Luke Shaw,DEF,23,England,30,12,0,1,900,1,0,1,0,Yes,Left-back
Diogo Dalot,DEF,20,Portugal,27,35,2,4,2970,6,0,3,0,No,Right-back
Tyrell Malacia,DEF,12,Netherlands,26,15,0,1,1080,1,0,1,0,No,Left-back
Casemiro,MID,18,Brazil,34,22,2,1,1620,3,0,5,1,No,Defensive midfielder
Christian Eriksen,MID,14,Denmark,34,18,1,3,1260,4,0,1,0,No,Midfielder
Bruno Fernandes,MID,8,Portugal,31,42,10,12,3600,22,0,6,1,No,Captain / attacking midfielder
Kobbie Mainoo,MID,37,England,21,32,4,5,2520,9,0,3,0,Yes,Central midfielder
Manuel Ugarte,MID,25,Uruguay,24,28,1,2,2160,3,0,5,0,No,Defensive midfielder
Mason Mount,MID,7,England,27,15,2,3,990,5,0,1,0,Yes,Midfielder
Marcus Rashford,FWD,10,England,28,20,5,3,1440,8,0,2,0,Yes,Forward
Rasmus Højlund,FWD,11,Denmark,23,28,9,2,2160,11,0,2,0,No,Striker
Alejandro Garnacho,FWD,49,Argentina,21,32,8,6,2340,14,0,3,0,No,Winger
Antony,FWD,21,Brazil,26,14,2,1,720,3,0,1,0,No,Winger
Amad Diallo,FWD,16,Ivory Coast,23,28,7,4,1890,11,0,1,0,No,Winger
Leny Yoro,DEF,15,France,20,18,0,0,1260,0,0,2,0,No,Young centre-back
Toby Collyer,MID,50,England,21,8,0,0,360,0,0,1,0,Yes,Young midfielder
Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
