Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Emiliano Martínez,GK,23,Argentina,34,27,0,0,2430,0,8,2,0,No,First‑choice goalkeeper :contentReference[oaicite:1]{index=1}
Marco Bizot,GK,40,Netherlands,35,5,0,0,450,0,2,0,0,No,Backup keeper :contentReference[oaicite:2]{index=2}
Matty Cash,DEF,2,Poland,27,27,3,2,2160,5,0,6,0,No,Right‑back :contentReference[oaicite:3]{index=3}
Victor Lindelöf,DEF,3,Sweden,34,12,0,1,1080,1,0,2,0,No,Center‑back :contentReference[oaicite:4]{index=4}
Ezri Konsa,DEF,5,England,28,29,0,0,2610,0,0,3,0,Yes,Center‑back :contentReference[oaicite:5]{index=5}
Tyrone Mings,DEF,11,England,32,13,1,0,1170,1,0,1,0,Yes,Defender :contentReference[oaicite:6]{index=6}
Lucas Digne,DEF,12,France,30,25,0,4,2100,4,0,4,0,No,Left‑back :contentReference[oaicite:7]{index=7}
Ian Maatsen,DEF,22,Netherlands,24,24,0,0,1980,0,0,5,0,No,Left‑back/wing‑back :contentReference[oaicite:8]{index=8}
Boubacar Kamara,MID,44,France,25,18,1,3,1620,4,0,5,0,No,Central midfielder :contentReference[oaicite:9]{index=9}
John McGinn,MID,7,Scotland,29,23,3,2,2070,5,0,5,0,Yes,Team captain :contentReference[oaicite:10]{index=10}
Morgan Rogers,MID/FWD,27,England,23,30,8,5,2700,13,0,7,0,Yes,Star attacker :contentReference[oaicite:11]{index=11}
Emiliano Buendía,MID,10,Argentina,30,28,5,2,2520,7,0,3,0,No,Attacking midfielder :contentReference[oaicite:12]{index=12}
Youri Tielemans,MID,8,Belgium,28,17,0,4,1530,4,0,2,0,No,Creative midfielder :contentReference[oaicite:13]{index=13}
Ross Barkley,MID,6,England,30,13,2,0,1170,2,0,1,0,Yes,Rotation MF :contentReference[oaicite:14]{index=14}
Donyell Malen,FWD,17,Netherlands,24,21,4,1,1890,5,0,1,0,No,Forward :contentReference[oaicite:15]{index=15}
Ollie Watkins,FWD,11,England,28,29,8,1,2610,9,0,7,0,No,Top scorer :contentReference[oaicite:16]{index=16}
Tammy Abraham,FWD,18,England,26,7,1,1,630,2,0,0,0,Yes,Forward :contentReference[oaicite:17]{index=17}
Amadou Onana,MID,20,Belgium,24,21,2,0,1890,2,0,3,0,No,Midfielder :contentReference[oaicite:18]{index=18}
Jadon Sancho,FWD,19,England,24,18,0,1,1620,1,0,1,0,Yes,Winger :contentReference[oaicite:19]{index=19}
Leon Bailey,FWD,31,Jamaica,27,8,0,1,720,1,0,1,0,No,Forward :contentReference[oaicite:20]{index=20}
Harvey Elliott,MID,8,England,21,5,0,0,450,0,0,0,0,Yes,Rotation midfielder :contentReference[oaicite:21]{index=21}
Douglas Luiz,MID,21,Brazil,27,15,1,0,1350,1,0,1,0,No,Central midfielder :contentReference[oaicite:22]{index=22}
Pau Torres,DEF,14,Spain,28,16,0,0,1440,0,0,3,0,No,Center‑back :contentReference[oaicite:23]{index=23}
Lamare Bogarde,DEF,26,England,20,24,0,0,1800,0,0,4,0,Yes,Young defender :contentReference[oaicite:24]{index=24}
Victor Okpara GK,45,Nigeria,20,0,0,0,0,0,0,0,0,Yes,Youth keeper :contentReference[oaicite:25]{index=25}
Kadan Young,FWD,51,England,19,0,0,0,0,0,0,0,0,Yes,Youth forward :contentReference[oaicite:26]{index=26}
