Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Djordje Petrovic,GK,1,Serbia,26,31,0,0,2790,0,8,1,0,No,First-choice keeper :contentReference[oaicite:1]{index=1}
Christos Mandas,GK,29,Greece,24,0,0,0,0,0,0,0,0,No,Backup keeper :contentReference[oaicite:2]{index=2}
Adrien Truffert,DEF,3,France,24,31,0,2,?,2,0,3,0,No,Left‑back/wing‑back :contentReference[oaicite:3]{index=3}
Marcos Senesi,DEF,5,Argentina,28,30,0,4,?,4,0,7,0,No,Center‑back/assists leader :contentReference[oaicite:4]{index=4}
Alex Jiménez,DEF,2,Spain,27,27,1,0,?,1,0,8,0,No,Right‑back/rotation :contentReference[oaicite:5]{index=5}
Adrien Rayan,DEF,?,Brazil,19,8,2,2,?,4,0,?,0,No,Young defender :contentReference[oaicite:6]{index=6}
Evanilson,FWD,?,Brazil,26,29,6,0,?,6,0,3,0,No,Forward :contentReference[oaicite:7]{index=7}
Antoine Semenyo,FWD,10,Ghana,26,20,10,4,?,14,0,?,0,No,Top scorer (before transfer) :contentReference[oaicite:8]{index=8}
Eli Junior Kroupi,FWD,19,France,19,26,8,0,?,8,0,?,0,No,Young forward :contentReference[oaicite:9]{index=9}
Marcus Tavernier,MID,?,England,27,27,5,4,?,9,0,?,0,No,Attacking midfield threat :contentReference[oaicite:10]{index=10}
Amine Adli,FWD,?,France,27,27,3,1,?,4,0,?,0,No,Forward rotation :contentReference[oaicite:11]{index=11}
Alex Scott,MID,?,England,31,31,2,1,?,3,0,?,0,No,Midfielder :contentReference[oaicite:12]{index=12}
James Hill,DEF,?,England,22,22,0,3,?,3,0,?,0,Yes,Homegrown rotation :contentReference[oaicite:13]{index=13}
David Brooks,FWD,?,Wales,28,25,1,2,?,3,0,?,0,No,Winger :contentReference[oaicite:14]{index=14}
Ryan Christie,MID,?,Scotland,21,21,2,0,?,2,0,?,0,No,Midfield option :contentReference[oaicite:15]{index=15}
Tyler Adams,MID,?,USA,24,18,2,1,?,3,0,?,0,No,Midfield rotation :contentReference[oaicite:16]{index=16}
Justin Kluivert,FWD,?,Netherlands,18,18,2,0,?,2,0,?,0,No,Forward option :contentReference[oaicite:17]{index=17}
Lewis Cook,MID,?,England,?,16,0,0,?,0,0,?,0,Yes,Central midfielder :contentReference[oaicite:18]{index=18}
Adam Smith,DEF,?,England,?,18,0,1,?,1,0,?,0,Yes,Full‑back/depth option :contentReference[oaicite:19]{index=19}
Ben Gannon Doak,FWD,?,Scotland,20,5,0,1,?,1,0,?,0,No,Young forward :contentReference[oaicite:20]{index=20}
Enes Ünal,FWD,?,Türkiye,28,17,1,0,?,1,0,?,0,No,Forward depth :contentReference[oaicite:21]{index=21}
Bafodé Diakité,DEF,?,France,18,18,0,0,?,0,0,?,0,No,Defensive rotation :contentReference[oaicite:22]{index=22}
Lewis Milosavljevic,MID,?,?,7,0,0,?,0,0,?,0,No,Midfield depth :contentReference[oaicite:23]{index=23}
Alex Tóth,DEF,?,Hungary,4,0,0,?,0,0,?,0,No,Rotation youth :contentReference[oaicite:24]{index=24}
Julio Soler,MID,?,?,3,0,0,?,0,0,?,0,No,Young midfielder :contentReference[oaicite:25]{index=25}
