Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Martin Dúbravka,GK,1,Slovakia,35,31,0,0,2790,0,3,8,0,No,First‑choice keeper :contentReference[oaicite:1]{index=1}
Kyle Walker,DEF,2,England,35,29,0,2,?,2,0,4,0,Yes,Right‑back/wing‑back (assists leader) :contentReference[oaicite:2]{index=2}
Quilindschy Hartman,DEF,3,Netherlands,23,17,2,4,?,6,0,3,0,No,Left‑back/main assist provider :contentReference[oaicite:3]{index=3}
Joe Worrall,DEF,4,England,30,11,0,2,?,2,0,3,0,Yes,Center‑back :contentReference[oaicite:4]{index=4}
Maxime Estève,DEF,5,France,24,28,2,0,?,2,0,2,0,No,Center‑back :contentReference[oaicite:5]{index=5}
Axel Tuanzebe,DEF,6,England,28,? ,1,0,?,1,0,1,0,Yes,Center‑back/rotation :contentReference[oaicite:6]{index=6}
Oliver Sonne,DEF,22,Peru,7,1,1,0,?,1,0,1,0,No,Defender/occasional scorer :contentReference[oaicite:7]{index=7}
Josh Cullen,MID,24,Ireland,30,2,2,?,2,4,0,2,0,Yes,Midfielder :contentReference[oaicite:8]{index=8}
Lesley Ugochukwu,MID,8,France,22,30,3,1,?,4,0,3,0,No,Midfield scorer :contentReference[oaicite:9]{index=9}
Lyle Foster,FWD,9,South Africa,24,23,3,2,?,5,0,2,0,No,Forward :contentReference[oaicite:10]{index=10}
Jaidon Anthony,FWD,11,England,25,30,7,1,?,8,0,4,0,Yes,Top scorer alongside Flemming :contentReference[oaicite:11]{index=11}
Zian Flemming,FWD,19,Netherlands,26,22,8,0,?,8,0,2,0,No,Top league scorer :contentReference[oaicite:12]{index=12}
Marcus Edwards,FWD,22,England,24,19,1,3,?,4,0,3,0,No,Attacking option & assist threat :contentReference[oaicite:13]{index=13}
Hannibal Mejbri,MID,28,Tunisia,23,23,1,3,?,4,0,3,0,No,Creative midfielder :contentReference[oaicite:14]{index=14}
Jacob Bruun Larsen,FWD,7,Denmark,25,23,1,2,?,3,0,2,0,No,Winger/assists :contentReference[oaicite:15]{index=15}
Kyle Walker Assists,MID,2,England,35,29,0,2,?,2,0,4,0,Yes,Assists contributor (same as Walker above) :contentReference[oaicite:16]{index=16}
Florentino Luís,MID,16,Portugal,27,24,0,2,?,2,0,3,0,No,Midfield rotation :contentReference[oaicite:17]{index=17}
James Ward‑Prowse,MID,20,England,30,11,0,1,?,1,0,1,0,Yes,Squad midfielder :contentReference[oaicite:18]{index=18}
Mike Trésor,MID/FWD,31,Belgium,28,4,0,1,?,1,0,0,0,No,Squad attacker :contentReference[oaicite:19]{index=19}
Josh Laurent,MID,29,England,29,28,1,0,?,1,0,1,0,Yes,Rotation midfielder :contentReference[oaicite:20]{index=20}
Aaron Ramsey,MID,21,England,23,1,0,1,?,1,0,0,0,Yes,Midfielder/backup :contentReference[oaicite:21]{index=21}
