Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Robert Sánchez,GK,1,Spain,28,29,0,0,2430,0,9,11,1,No,First‑choice keeper :contentReference[oaicite:1]{index=1}
Filip Jørgensen,GK,12,Denmark,23,3,0,0,270,0,0,0,0,No,Backup goalie :contentReference[oaicite:2]{index=2}
Teddy Sharman‑Lowe,GK,28,England,22,0,0,0,0,0,0,0,0,Yes,Young GK :contentReference[oaicite:3]{index=3}
Gaga Slonina,GK,44,USA,21,0,0,0,0,0,0,0,0,No,Youth GK :contentReference[oaicite:4]{index=4}
Marc Cucurella,DEF,3,Spain,27,27,1,3,1987,4,0,4,0,No,Regular LB :contentReference[oaicite:5]{index=5}
Tosin Adarabioyo,DEF,4,England,28,14,0,0,737,0,0,0,0,Yes,Center‑back :contentReference[oaicite:6]{index=6}
Benoît Badiashile,DEF,5,France,24,8,0,0,471,0,0,2,0,No,Defender :contentReference[oaicite:7]{index=7}
Levi Colwill,DEF,6,England,22,0,0,0,0,0,0,0,0,Yes,Rotation defender :contentReference[oaicite:8]{index=8}
Jorrel Hato,DEF,21,Netherlands,19,11,0,0,?,0,0,1,0,No,Young CB :contentReference[oaicite:9]{index=9}
Trevoh Chalobah,DEF,23,England,26,29,3,0,2550,3,0,5,0,No,Versatile defender :contentReference[oaicite:10]{index=10}
Wesley Fofana,DEF,13,France,25,18,0,0,1186,0,0,0,0,No,Rotation CB :contentReference[oaicite:11]{index=11}
Malo Gusto,DEF,14,France,22,27,2,0,1695,2,0,5,0,No,Right‑back :contentReference[oaicite:12]{index=12}
Andrey Santos,MID,18,Brazil,23,22,0,0,974,0,0,1,0,No,Midfield rotation :contentReference[oaicite:13]{index=13}
Moisés Caicedo,MID,24,Ecuador,24,25,3,4,2104,7,0,7,0,No,Midfield engine :contentReference[oaicite:14]{index=14}
Enzo Fernández,MID,16,Argentina,25,28,8,3,2488,11,0,11,1,No,Creative midfielder :contentReference[oaicite:15]{index=15}
Cole Palmer,MID,8,England,23,19,9,0,1328,9,0,0,0,Yes,Goal threat from mid/attack :contentReference[oaicite:16]{index=16}
Pedro Neto,FWD,7,Portugal,26,28,5,2,2140,7,0,11,0,No,Winger/forward :contentReference[oaicite:17]{index=17}
João Pedro,FWD,20,Brazil,24,31,14,5,2233,19,0,27,0,No,Top scorer :contentReference[oaicite:18]{index=18}
Liam Delap,FWD,9,England,23,21,1,0,783,1,0,1,0,No,Forward :contentReference[oaicite:19]{index=19}
Alejandro Garnacho,FWD,17,Argentina,21,19,1,0,1077,1,0,7,0,No,Winger presence :contentReference[oaicite:20]{index=20}
Facundo Buonanotte,MID/FWD,11,Argentina,20,1,0,0,45,0,0,0,0,No,New signing/reserve :contentReference[oaicite:21]{index=21}
