Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Jean‑Philippe Mateta,FWD,14,France,28,24,8,0,1935,8,0,4,0,No,Top scorer this season :contentReference[oaicite:0]{index=0}
Ismaïla Sarr,FWD,7,Senegal,28,20,7,1,1726,8,0,3,0,No,Second leading scorer :contentReference[oaicite:1]{index=1}
Daniel Muñoz,DEF,2,Colombia,29,21,3,2,1778,5,0,5,0,No,Wing‑back contributor :contentReference[oaicite:2]{index=2}
Jørgen Strand Larsen,FWD,22,Norway,26,6,3,0,466,3,0,1,0,No,Forward rotation :contentReference[oaicite:3]{index=3}
Eddie Nketiah,FWD,9,England,26,12,2,0,424,2,0,1,0,No,Goal threat off bench :contentReference[oaicite:4]{index=4}
Maxence Lacroix,DEF,5,France,25,28,0,2,1800,2,0,4,0,No,Assisting defender :contentReference[oaicite:5]{index=5}
Marc Guéhi,DEF,6,England,25,20,2,2,1800,4,0,3,0,Yes,Defensive leader & able assistor :contentReference[oaicite:6]{index=6}
Adam Wharton,MID,20,England,22,27,1,5,?,6,0,2,0,Yes,Creative midfielder & top assistor :contentReference[oaicite:7]{index=7}
Yeremi Pino,FWD/MID,10,Spain,23,21,2,1,?,3,0,?,0,No,Wide attacker :contentReference[oaicite:8]{index=8}
Tyrick Mitchell,DEF,3,England,26,30,1,1,?,2,0,5,0,Yes,Full‑back & assists :contentReference[oaicite:9]{index=9}
Chris Richards,DEF,26,USA,25,26,1,0,?,1,0,3,0,No,Center‑back :contentReference[oaicite:10]{index=10}
Justin Devenny,MID,55,Scotland,20,18,1,0,?,1,0,1,0,Yes,Young midfielder :contentReference[oaicite:11]{index=11}
Jefferson Lerma,MID,8,Colombia,31,24,0,2,?,2,0,6,0,No,Hold midfielder with assists :contentReference[oaicite:12]{index=12}
Will Hughes,MID,19,England,30,27,0,0,?,0,0,0,0,Yes,Midfield rotation :contentReference[oaicite:13]{index=13}
Dean Henderson,GK,1,England,27,29,0,0,?,0,10,?,0,Yes,First‑choice GK (clean sheets leader) :contentReference[oaicite:14]{index=14}
