Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Morgan Gibbs‑White,MID,10,England,26,29,8,2,2475,10,0,5,0,Yes,Top scorer & creator for Forest this season :contentReference[oaicite:1]{index=1}
Callum Hudson‑Odoi,FWD,7,England,23,26,3,2,1635,5,0,4,0,No,Second leading scorer :contentReference[oaicite:2]{index=2}
Elliot Anderson,MID,8,England,30,29,2,2,2596,4,0,8,1,Yes,Midfield playmaker :contentReference[oaicite:3]{index=3}
Neco Williams,DEF,3,Wales,24,29,1,1,?,2,0,5,0,Yes,Full‑back contributor :contentReference[oaicite:4]{index=4}
Murillo,DEF,5,Brazil,22,22,1,0,?,1,0,6,0,No,Defender :contentReference[oaicite:5]{index=5}
Morato,DEF,4,Portugal,24,15,0,0,?,0,0,7,0,No,Center‑back :contentReference[oaicite:6]{index=6}
Ibrahim Sangaré,MID,6,Ivory Coast,28,20,2,0,?,2,0,4,0,No,Defensive mid :contentReference[oaicite:7]{index=7}
Callum Wood,FWD,9,England,?,8,2,0,539,2,0,0,0,No,Forward (limited apps) :contentReference[oaicite:8]{index=8}
Omari Hutchinson,MID,21,Jamaica,22,21,1,0,?,1,0,0,0,No,Squad attacker :contentReference[oaicite:9]{index=9}
Dan Ndoye,FWD,24,Switzerland,25,20,1,0,?,1,0,1,0,No,Rotation forward :contentReference[oaicite:10]{index=10}
Nicolò Savona,DEF,?,Italy,?,14,2,0,?,2,0,0,0,No,Defender :contentReference[oaicite:11]{index=11}
Douglas Luiz,MID,12,Brazil,27,17,1,1,?,2,0,1,0,No,Midfield option :contentReference[oaicite:12]{index=12}
Ryan Yates,MID,16,England,28,13,0,0,?,0,0,0,0,Yes,Rotation midfield :contentReference[oaicite:13]{index=13}
Lorenzo Lucca,FWD,19,Italy,25,3,1,0,?,1,0,0,0,No,Backup striker :contentReference[oaicite:14]{index=14}
Matz Sels,GK,26,Belgium,33,20,0,0,?,0,0,1,0,No,Goalkeeper :contentReference[oaicite:15]{index=15}
John Victor,GK,13,Brazil,30,5,0,0,?,0,0,1,0,No,Backup keeper :contentReference[oaicite:16]{index=16}
Angus Gunn,GK,18,Scotland,30,1,0,0,?,0,0,0,0,No,Third keeper :contentReference[oaicite:17]{index=17}
