Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Gianluigi Donnarumma,GK,25,Italy,27,27,0,0,2430,0,0,6,0,No,First-choice goalkeeper
James Trafford,GK,1,England,23,3,0,0,270,0,0,0,0,Yes,Backup goalkeeper
Marcus Bettinelli,GK,13,England,33,0,0,0,0,0,0,0,0,Yes,Third-choice goalkeeper
Rúben Dias,DEF,3,Portugal,28,25,2,2,2250,4,10,9,0,No,Versatile defender, VC
John Stones,DEF,5,England,31,7,3,0,630,3,0,0,0,Yes,Experienced centre-back, Vice-captain
Nathan Aké,DEF,6,Netherlands,31,14,10,0,1260,10,3,6,0,No,Utility defender
Marc Guéhi,DEF,15,England,25,28,0,2,2520,2,0,25,0,Yes,Key centre-back
Rayan Aït-Nouri,DEF,21,Algeria,24,13,3,0,1170,3,0,8,0,No,Full-back
Joško Gvardiol,DEF,24,Croatia,24,16,1,2,1440,3,0,7,0,No,Strong defender
Abdukodir Khusanov,DEF,45,Uzbekistan,22,15,6,0,1350,6,0,5,0,No,Rotation defender
Rico Lewis,DEF,82,England,21,10,7,0,900,7,0,7,0,Yes,Young versatile defender
Tijjani Reijnders,MID,4,Netherlands,27,26,9,5,2340,14,0,15,0,No,Box-to-box midfielder
Mateo Kovačić,MID,8,Croatia,31,1,1,0,90,1,0,0,0,No,Deep rotation midfielder
Rayan Cherki,MID,10,France,22,25,11,3,2250,14,0,30,1,No,Creative attacking midfielder
Nico González,MID,14,Spain,24,21,6,1,1890,7,0,17,0,No,Central midfielder
Rodri,MID,16,Spain,29,18,4,1,1620,5,0,26,0,No,Defensive midfielder
Bernardo Silva,MID,20,Portugal,31,30,4,2,2700,6,0,19,0,Yes,Club captain
Matheus Nunes,MID,27,Portugal,27,27,2,1,2430,3,0,25,0,No,All-round midfielder
Nico O'Reilly,MID,33,England,21,28,5,4,2520,9,0,13,0,Yes,Young midfielder
Phil Foden,MID,47,England,25,26,5,7,2340,12,0,26,0,Yes,Playmaker
Omar Marmoush,FWD,7,Egypt,27,17,10,1,1530,11,0,18,0,No,Forward
Erling Haaland,FWD,9,Norway,25,29,22,7,2610,29,0,23,1,No,Striker, star player
Jérémy Doku,FWD,11,Belgium,23,22,9,1,1980,10,0,40,0,No,Winger
Savinho,FWD,26,Brazil,21,17,12,0,1530,12,0,10,0,No,Young forward
Antoine Semenyo,FWD,42,Ghana,26,29,0,15,2610,15,0,19,0,No,Wide forward
