Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Aaron Ramsdale,GK,1,England,26,20,0,0,1800,0,5,3,0,Yes,First‑choice keeper ([[turn0search6]])
Nick Pope,GK,??,England,33,20,0,0,1800,0,0,4,0,Yes,Backup keeper ([[turn0search6]])
Martin Dúbravka,GK,32,Slovakia,35,7,0,0,630,0,1,1,0,No,Third GK ([turn0search6])
Tino Livramento,DEF,21,England,21,13,0,1,?,1,0,2,0,Yes,Full‑back ([turn0search6])
Sven Botman,DEF,4,Netherlands,24,15,1,1,?,2,0,3,0,No,Center‑back ([turn0search6])
Dan Burn,DEF,33,England,33,18,1,2,?,3,0,4,0,Yes,Tough defender ([turn0search6])
Kieran Trippier,DEF,2,England,34,14,0,1,?,1,0,3,0,Yes,Right‑back ([turn0search6])
Fabian Schär,DEF,5,Switzerland,32,16,0,0,?,0,0,2,0,No,Centre‑back ([turn0search6])
Lewis Hall,DEF/MID,3,England,20,19,0,1,?,1,0,3,0,Yes,Versatile young player ([turn0search6])
Malick Thiaw,DEF,12,Germany,24,23,4,0,2208,4,0,3,0,No,Defender with goals ([[turn0search1]])
Bruno Guimarães,MID,39,Brazil,27,23,9,4,?,13,0,3,0,No,Key midfielder & contributor ([[turn0search6]])
Lewis Miley,MID,67,England,19,19,1,3,?,4,0,2,0,Yes,Young central mid ([[turn0search6]])
Sandro Tonali,MID,8,Italy,24,26,0,1,?,1,0,1,0,No,Defensive midfielder ([[turn0search6]])
Joelinton,MID,7,Brazil,27,19,2,0,?,2,0,2,0,No,Box‑to‑box ([turn0search6])
Anthony Gordon,MID/FWD,10,England,25,20,3,2,?,5,0,2,0,Yes,Wide attacker ([[turn0search6]])
Harvey Barnes,FWD,11,England,25,25,5,2,?,7,0,2,0,No,Forward threat ([[turn0search6]])
Nick Woltemade,FWD,27,Germany,21,23,7,2,?,9,0,3,0,No,Young forward ([[turn0search6]])
Jacob Murphy,FWD,23,England,29,21,2,1,?,3,0,1,0,No,Forward & creator ([[turn0search6]])
William Osula,FWD,18,Denmark,20,13,1,1,?,2,0,2,0,No,Rotation striker ([[turn0search6]])
Lewis Hall,MID/DEF,3,England,20,19,0,1,?,1,0,3,0,Yes,Homegrown versatile ([[turn0search6]])
Joe Willock,MID,28,England,24,15,0,1,?,1,0,2,0,Yes,Midfield backup ([[turn0search6]])
Yoane Wissa,FWD,9,DR Congo,??,11,1,0,?,1,0,1,0,No,Rotation forward ([[turn0search6]])
Jacob Ramsey,MID,41,England,21,16,1,0,?,1,0,1,0,Yes,Young midfielder ([[turn0search6]])
