Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Robin Roefs,GK,22,Netherlands,28,28,0,0,2520,0,9,5,0,No,First‑choice GK ([turn0search9])  
Anthony Patterson,GK,1,England,25,26,0,0,2340,0,8,4,0,Yes,Backup keeper ([turn0search9])  
Trai Hume,DEF,4,Northern Ireland,26,29,1,1,?,2,0,8,0,Yes,Right‑back, rotation ([turn0search9])  
Nordi Mukiele,DEF,17,France,28,25,1,4,?,5,0,5,0,No,Center‑back ([turn0search6])  
Omar Alderete,DEF,3,Paraguay,28,23,1,1,?,2,0,3,0,No,Center‑back ([turn0search6])  
Reinildo Mandava,DEF,27,Mozambique,30,17,0,1,?,1,0,6,0,No,Left‑back/wing‑back ([turn0search6])  
Lutsharel Geertruida,DEF,21,Netherlands,23,23,0,0,?,0,0,3,0,No,Rotation defender ([turn0search6])  
Daniel Ballard,DEF,15,England,25,25,2,0,?,2,0,4,0,Yes,Defender ([turn0search6])  
Dennis Cirkin,DEF,2,England,21,6,0,0,?,0,0,0,0,Yes,Backup defender ([turn0search6])  
Noah Sadiki,DEF/MID,31,Belgium,24,22,0,0,?,0,0,0,0,No,Young defender/mid ([turn0search6])  
Granit Xhaka,MID,34,Switzerland,34,25,1,5,?,6,0,6,0,No,Team captain & assist leader ([turn0search9])  
Enzo Le Fée,MID,8,France,25,28,4,4,?,8,0,7,0,No,Creative midfielder ([turn0search9])  
Wilson Isidor,FWD,9,France,24,26,4,0,?,4,0,1,0,No,Forward ([turn0search9])  
Brian Brobbey,FWD,21,Netherlands,24,22,5,1,?,6,0,3,0,No,Top scorer so far ([turn0search9])  
Chemsdine Talbi,FWD,18,Belgium,21,21,3,1,?,4,0,2,0,No,Forward option ([turn0search9])  
Simon Adingra,FWD,26,Ivory Coast,24,14,1,0,?,1,0,0,0,No,Wide attacker ([turn0search9])  
Habib Diarra,MID,20,Senegal,22,12,2,0,?,2,0,0,0,No,Rotation mid ([turn0search9])  
Eliezer Mayenda FWD,11,DR Congo,20,17,2,0,?,2,0,0,0,No,Forward ([turn0search9])  
Omar Masuaku,DEF,13,DR Congo,32,3,0,0,?,0,0,0,0,No,Veteran fullback ([turn0search9])  
Luke O'Nien,MID,30,England,31,5,0,0,?,0,0,0,0,Yes,Utility midfielder ([turn0search9])  
Romaine Mundle,MID,19,England,21,14,0,0,?,0,0,0,0,Yes,Young squad midfielder ([turn0search9])  
No players with clear minutes/discipline beyond above data available — zeros used where public stats aren’t shown.  
