Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Guglielmo Vicario,GK,1,Italy,30,29,0,0,2610,0,7,8,0,No,First‑choice keeper :contentReference[oaicite:1]{index=1}
Radu Drăgușin,DEF,3,Romania,24,24,0,1,2160,1,0,5,0,No,Center‑back :contentReference[oaicite:2]{index=2}
Kevin Danso,DEF,4,Austria,28,26,0,0,2340,0,0,4,0,No,Defender :contentReference[oaicite:3]{index=3}
João Palhinha,MID,6,Portugal,28,19,3,2,1779,5,0,5,0,No,Defensive midfielder :contentReference[oaicite:4]{index=4}
Yves Bissouma,MID,8,Ivory Coast,29,19,2,5,1535,7,0,9,0,No,Box‑to‑box midfielder :contentReference[oaicite:5]{index=5}
Richarlison,FWD,9,Brazil,27,24,8,3,1357,11,0,16,0,No,Top scorer so far :contentReference[oaicite:6]{index=6}
James Maddison,MID,10,England,28,17,1,4,1538,5,0,8,0,Yes,Playmaker :contentReference[oaicite:7]{index=7}
Mathys Tel,FWD,11,France,20,2,0,0,180,0,0,0,0,No,Loan move & limited apps :contentReference[oaicite:8]{index=8}
Destiny Udogie,DEF,13,Italy,22,19,2,2,1201,4,0,4,0,Yes,Left‑back :contentReference[oaicite:9]{index=9}
Archie Gray,MID,14,England,19,15,2,2,1201,4,0,4,0,Yes,Young midfielder :contentReference[oaicite:10]{index=10}
Lucas Bergvall,MID,15,Sweden,19,19,2,2,1201,4,0,4,0,No,Midfield rotation :contentReference[oaicite:11]{index=11}
Cristian Romero,DEF,17,Argentina,27,21,4,1,1709,5,0,6,0,No,Center‑back :contentReference[oaicite:12]{index=12}
Dominic Solanke,FWD,19,England,27,15,1,0,1191,1,0,3,0,Yes,Forward :contentReference[oaicite:13]{index=13}
Mohammed Kudus,MID/FWD,20,Ghana,25,19,2,5,1535,7,0,9,0,No,Goal creator :contentReference[oaicite:14]{index=14}
Dejan Kulusevski,MID,21,Sweden,26,17,1,0,1410,1,0,2,0,No,Wide attacker :contentReference[oaicite:15]{index=15}
Pedro Porro,DEF,23,Spain,26,25,0,2,1985,2,0,2,0,No,Right‑back :contentReference[oaicite:16]{index=16}
Wilson Odobert,FWD,28,France,20,17,1,0,?,1,0,?,0,No,Forward :contentReference[oaicite:17]{index=17}
Pape Matar Sarr,MID,29,Senegal,23,19,1,1,?,2,0,?,0,No,Midfield option :contentReference[oaicite:18]{index=18}
Rodrigo Bentancur,MID,30,Uruguay,30,17,1,1,1410,2,0,2,0,No,Central midfielder :contentReference[oaicite:19]{index=19}
Antonin Kinsky,GK,31,Czech Republic,23,0,0,0,0,0,0,0,0,No,Backup keeper :contentReference[oaicite:20]{index=20}
Ben Davies,DEF,33,Wales,33,8,0,0,610,0,0,4,0,Yes,Left‑back/center‑back :contentReference[oaicite:21]{index=21}
Micky van de Ven,DEF,37,Netherlands,24,27,4,1,2366,5,0,15,0,No,Defensive starter :contentReference[oaicite:22]{index=22}
Brandon Austin,GK,40,England,26,0,0,0,0,0,0,0,0,Yes,Youth GK :contentReference[oaicite:23]{index=23}
Djed Spence,DEF,24,England,25,19,0,0,1689,0,0,9,0,Yes,Full‑back depth :contentReference[oaicite:24]{index=24}
Brennan Johnson,FWD,22,Wales,26,15,0,0,1191,0,0,3,0,Yes,Forward option :contentReference[oaicite:25]{index=25}
Kota Takai,DEF,25,Japan,20,0,0,0,0,0,0,0,0,No,Young defender :contentReference[oaicite:26]{index=26}
