Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Jarrod Bowen,FWD/MID,20,England,28,27,8,1,2430,9,0,4,0,Yes,Top scorer this season for West Ham ([turn0search21][turn0search0])
Crysencio Summerville,FWD,7,Netherlands,24,21,5,1,1890,6,0,3,0,No,Key forward contributor ([turn0search21][turn0search5])
Callum Wilson,FWD,9,England,33,22,5,0,1980,5,0,4,0,No,Goal threat up front ([turn0search21][turn0search5])
Lucas Paquetá,MID,10,Brazil,27,?,4,1,?,5,0,?,0,No,Midfield scorer/creator ([turn0search21])
Tomáš Souček,MID,28,Czech Republic,30,?,4,1,?,5,0,?,0,No,Goal and work rate ([turn0search21])
Mateus Fernandes,MID,18,Portugal,21,?,3,0,?,3,0,?,0,No,Midfield rotation ([turn0search21])
Taty Castellanos,FWD,11,Argentina,29,?,3,1,?,4,0,?,0,No,Forward rotation ([turn0search21])
Kyle Walker‑Peters,DEF,2,England,28,18,1,0,1620,1,0,2,0,Yes,Full‑back contribution ([turn0search5])
Konstantinos Mavropanos,DEF,15,Greece,28,19,1,0,1710,1,0,2,0,No,Center‑back ([turn0search5])
El Hadji Malick Diouf,DEF,12,Senegal,21,20,0,4,1800,4,0,3,0,No,Wing‑back assist leader ([turn0search9])
Jean‑Clair Todibo,DEF,25,France,26,18,0,1,1620,1,0,1,0,No,Defensive rotation ([turn0search9])
Mads Hermansen,GK,1,Denmark,25,6,0,0,540,0,2,0,0,No,Goalkeeper appearances ([turn0search5])
Alphonse Areola,GK,23,France,32,20,0,1,1800,1,7,2,0,No,Starting keeper part of season ([turn0search5])
Max Kilman,DEF,3,England,28,21,0,0,1890,0,0,?,0,No,Center‑back ([turn0search9])
Axel Disasi,DEF,4,France,27,2,0,0,180,0,0,0,0,No,Defender depth ([turn0search9])
