Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Łukasz Skorupski,GK,1,Poland,34,15,0,0,1350,0,7,1,1,No,First‑choice keeper this season (clean sheets leader) :contentReference[oaicite:1]{index=1}
Federico Ravaglia,GK,13,Italy,26,13,0,0,1170,0,3,3,0,Yes,Backup keeper :contentReference[oaicite:2]{index=2}
Massimo Pessina,GK,25,Italy,18,1,0,0,90,0,0,0,0,Yes,Youth keeper :contentReference[oaicite:3]{index=3}
Riccardo Orsolini,FWD,18,Italy,29,26,7,1,1534,8,0,4,0,No,Top goalscorer for Bologna this season :contentReference[oaicite:4]{index=4}
Santiago Castro,FWD,9,Argentina,21,25,5,2,1671,7,0,7,0,No,Important attacking option :contentReference[oaicite:5]{index=5}
Nicolo Cambiaghi,FWD,28,Italy,?,17,3,4,?,7,0,3,1,0,No,Goal + assist threat :contentReference[oaicite:6]{index=6}
Jens Odgaard,FWD,21,Denmark,?,14,3,1,?,4,0,1,0,No,Forward rotation :contentReference[oaicite:7]{index=7}
Thijs Dallinga,FWD,24,Netherlands,?,15,1,2,?,3,0,1,0,No,Striker involvement :contentReference[oaicite:8]{index=8}
Jonathan Rowe,FWD,?,England,22,25,?,1,?,1,0,?,0,No,Forward depth :contentReference[oaicite:9]{index=9}
Benjamin Domínguez,FWD,30,Argentina,22,?,0,0,?,0,0,?,0,No,Squad forward :contentReference[oaicite:10]{index=10}
Musa Barrow,FWD,?,Gambia,27,?,0,0,?,0,0,?,0,No,Experienced forward :contentReference[oaicite:11]{index=11}
Emanuel Vignato,MID/FWD,?,Italy,?,?,0,0,?,0,0,?,0,Yes,Versatile attacker :contentReference[oaicite:12]{index=12}
Juan Miranda,DEF,33,Spain,26,22,1,3,1718,4,0,3,0,No,Left‑back with assists :contentReference[oaicite:13]{index=13}
Charalambos Lykogiannis,DEF,22,Greece,31,16,0,0,?,0,0,0,0,No,Full‑back depth :contentReference[oaicite:14]{index=14}
Nadir Zortea,DEF,20,Italy,26,14,0,1,1442,1,0,5,0,No,Wing‑back/utility :contentReference[oaicite:15]{index=15}
Jhon Lucumí,DEF,26,Colombia,27,20,1,0,1551,1,0,?),0,No,Center‑back rotation :contentReference[oaicite:16]{index=16}
Torbjørn Heggem,DEF,14,Norway,27,21,0,0,1817,0,0,?),0,No,Defender :contentReference[oaicite:17]{index=17}
Nicolo Casale,DEF,16,Italy,27,?),0,0,?,0,0,?),0,Yes,Defensive option :contentReference[oaicite:18]{index=18}
Remo Freuler,MID,8,Switzerland,33,12,0,0,?,0,0,3,0,No,Midfield rotation :contentReference[oaicite:19]{index=19}
Federico Bernardeschi,MID,10,Italy,30,14,1,0,?,1,0,2,0,No,Experienced midfielder :contentReference[oaicite:20]{index=20}
Tommaso Pobega,MID,4,Italy,25,14,2,0,?,2,0,1,0,No,Goal threat from mid :contentReference[oaicite:21]{index=21}
Nikola Moro,MID,6,Croatia,?,14,1,0,?,1,0,1,0,No,Rotation midfielder :contentReference[oaicite:22]{index=22}
Giovanni Fabbian,MID,?,Italy,?,14,?,?0,?,?0,?,0,?,0,No,Midfield option :contentReference[oaicite:23]{index=23}
Lewis Ferguson,MID,19,Scotland,26,?),0,0,?,0,0,?,0,No,Mid option :contentReference[oaicite:24]{index=24}
Michel Aebischer,MID,?,?,24,?),0,?),?,0,0,?,0,No,Midfield squad member :contentReference[oaicite:25]{index=25}
Juan Rojo,MID,?,?,?),0,0,0,0,0,0,0,0,Yes,Homegrown youth (no apps) :contentReference[oaicite:26]{index=26}
Davide Franzini,GK,?,Italy,20,0,0,0,0,0,0,0,0,Yes,Youth GK (no apps) :contentReference[oaicite:27]{index=27}
Ukko Happonen,GK,72,Finland,18,0,0,0,0,0,0,0,0,No,Youth keeper (no apps) :contentReference[oaicite:28]{index=28}
