Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Jean Butez,GK,1,France,30,30,0,0,2700,0,17,3,0,No,First‑choice keeper with most clean sheets in Serie A :contentReference[oaicite:2]{index=2}
Nico Paz,MID/FWD,10,Argentina,21,29,10,6,2387,16,0,5,0,No,Key scorer & creator, club star :contentReference[oaicite:3]{index=3}
Anastasios Douvikas,FWD,11,Greece,26,30,11,1,?,12,0,?,0,No,Team leading scorer this season :contentReference[oaicite:4]{index=4}
Martin Baturina,MID,20,Croatia,22,?,6,?0,?,?0,0,?,0,No,Midfield contributor with goals :contentReference[oaicite:5]{index=5}
Maximo Perrone,MID,23,Argentina,23,28,3,4,?,7,0,?,0,No,Creativity & assists :contentReference[oaicite:6]{index=6}
Lucas Da Cunha,MID,33,France,24,28,3,4,?,7,0,?,0,No,Important midfielder :contentReference[oaicite:7]{index=7}
Jacobo Ramón,DEF,14,Spain,20,26,2,0,2248,2,0,7,1,No,Young defender with minutes :contentReference[oaicite:8]{index=8}
Maxence Caqueret,MID,6,France,25,24,2,4,?,6,0,2,0,No,Box‑to‑box mid :contentReference[oaicite:9]{index=9}
Jesús Rodríguez,MID,7,Brazil,26,26,1,8,?,9,0,4,1,No,Top assist provider :contentReference[oaicite:10]{index=10}
Marc‑Oliver Kempf,DEF,2,Austria,28,27,4,0,?,4,0,?,0,No,Defender with goals :contentReference[oaicite:11]{index=11}
Mërgim Vojvoda,DEF,31,Kosovo,30,25,2,2,?,4,0,7,0,No,Versatile defender :contentReference[oaicite:12]{index=12}
Ivan Smolčić,DEF,28,Croatia,25,20,0,0,?,0,0,7,0,No,Defender rotation :contentReference[oaicite:13]{index=13}
Alberto Moreno,DEF,18,Spain,33,?,1,2,?,3,0,?,0,No,Experienced left‑back :contentReference[oaicite:14]{index=14}
Álex Valle,DEF,3,Spain,20,?,0,3,?,3,0,?,0,No,Full‑back with assists :contentReference[oaicite:15]{index=15}
Maxence Caqueret (dup removed),…,…,…,…,…,…,…,…,…,…,…,…,…  
Álvaro Morata,FWD,13,Spain,33,?,0,2,?,2,0,?,0,No,Forward rotation :contentReference[oaicite:16]{index=16}
Nicolas Kühn,FWD,19,Germany,24,?,1,0,?,1,0,?,0,No,Rotation forward :contentReference[oaicite:17]{index=17}
Assane Diao,FWD,38,Senegal,20,?,1,0,?,1,0,?,0,No,Young winger :contentReference[oaicite:18]{index=18}
Jonathan Ikoné,FWD,?,France,27,?,0,0,?,0,0,?,0,No,Forward depth :contentReference[oaicite:19]{index=19}
Jayden Addai,FWD,42,Ghana,20,12,3,0,?,?,1,0,0,No,Youth forward with contributions :contentReference[oaicite:20]{index=20}
Jean Butez (duplicate removed),…,…,…,…,…,…,…,…,…,…,…,…,…  
Other youth players (no apps),…,…,…,…,0,0,0,0,0,0,0,0,Yes,Various youth players with no Serie A apps :contentReference[oaicite:21]{index=21}
