Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
David de Gea,GK,43,Spain,35,26,0,0,2340,0,4,2,0,No,Main keeper with most Serie A apps for Fiorentina this season :contentReference[oaicite:1]{index=1}
Oliver Christensen,GK,53,Denmark,26,13,0,0,1170,0,2,1,0,No,Backup goalkeeper :contentReference[oaicite:2]{index=2}
Luca Lezzerini,GK,1,Italy,31,2,0,0,180,0,0,0,0,Yes,Third keeper with few apps :contentReference[oaicite:3]{index=3}
Dodô,DEF,2,Brazil,27,26,0,2,?,2,0,5,0,No,Right‑back & assist contributor :contentReference[oaicite:4]{index=4}
Luca Ranieri,DEF,?,Italy,26,23,1,0,?,1,0,6,0,Yes,Center‑back starter :contentReference[oaicite:5]{index=5}
Marin Pongračić,DEF,?,Croatia,28,24,0,0,?,0,0,8,0,No,Center‑back with high yellow cards :contentReference[oaicite:6]{index=6}
Robin Gosens,DEF/MID,?,Germany,31,17,2,0,?,2,0,4,0,No,Wing‑back attacking threat :contentReference[oaicite:7]{index=7}
Fabiano Parisi,DEF,?,Italy,?,18,0,1,?,1,0,4,0,No,Full‑back assist option :contentReference[oaicite:8]{index=8}
Daniele Rugani,DEF,3,Italy,31,2,0,0,?,0,0,0,0,Yes,Defender (loan/limited apps) :contentReference[oaicite:9]{index=9}
Nicolò Fagioli,MID,?,Italy,24,23,1,3,?,4,0,4,0,Yes,Creative midfielder, assist leader :contentReference[oaicite:10]{index=10}
Rolando Mandragora,MID,?,Italy,28,25,6,1,?,7,0,5,0,No,Goals + appearances contributor :contentReference[oaicite:11]{index=11}
Albert Guðmundsson,MID/FWD,?,Iceland,28,22,4,3,?,7,0,3,0,No,Goal & assist contributor :contentReference[oaicite:12]{index=12}
Moise Kean,FWD,?,Italy,23,23,8,1,?,9,0,3,0,No,Top scorer this season :contentReference[oaicite:13]{index=13}
Giovanni Fabbian,MID/FWD,?,Italy,?,20,2,0,?,2,0,?,0,No,Forward/mid contributor :contentReference[oaicite:14]{index=14}
Jack Harrison,MID/FWD,?,England,?,6,0,1,?,1,0,1,0,No,Rotation attacking player :contentReference[oaicite:15]{index=15}
Roberto Piccoli,FWD,?,Italy,?,24,2,0,?,2,0,?,0,No,Forward depth contributor :contentReference[oaicite:16]{index=16}
Cher Ndour,MID,?,Italy,?,23,1,0,?,1,0,?,0,No,Young midfielder :contentReference[oaicite:17]{index=17}
Marco Brescianini,MID,?,Italy,?,18,2,0,?,2,0,?,0,Yes,Young midfield option :contentReference[oaicite:18]{index=18}
Pietro Comuzzo,DEF,?,Italy,?,21,1,0,?,1,0,?,0,Yes,Youth defender & occasional starter :contentReference[oaicite:19]{index=19}
Eddy Kouadio,MID,?,Ivory Coast,?,3,0,0,?,0,0,?,0,No,Rotation midfield option :contentReference[oaicite:20]{index=20}
Other Youth Players,Various,0,Various,0,0,0,0,0,0,0,0,Yes,Youth/academy players not yet featured :contentReference[oaicite:21]{index=21}
