Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Nicola Leali,GK,1,Italy,32,26,0,0,2340,0,8,3,0,Yes,Primary goalkeeper in Serie A :contentReference[oaicite:1]{index=1}
Benjamin Siegrist,GK,31,Switzerland,33,0,0,0,0,0,0,0,0,No,Backup GK (no league apps reported) :contentReference[oaicite:2]{index=2}
Daniele Sommariva,GK,39,Italy,28,0,0,0,0,0,0,0,0,Yes,Keeper depth (no apps) :contentReference[oaicite:3]{index=3}
Ernestas Lysionok,GK,35,Lithuania,18,0,0,0,0,0,0,0,0,No,Youth GK :contentReference[oaicite:4]{index=4}
Aaron Martín,DEF,3,Spain,28,28,2,4,?,6,0,8,0,No,Key defender & assist threat :contentReference[oaicite:5]{index=5}
Leo Østigård,DEF,5,Norway,25,26,1,2,?,3,0,5,0,No,Center‑back starter :contentReference[oaicite:6]{index=6}
Alessandro Marcandalli,DEF,27,Italy,23,22,1,0,?,1,0,3,0,Yes,DEF rotation :contentReference[oaicite:7]{index=7}
Brooke Norton‑Cuffy,DEF,15,England,22,21,0,1,?,1,0,4,0,No,Full‑back contributor :contentReference[oaicite:8]{index=8}
Djed Spence,DEF,?,England,24,20,1,1,?,2,0,3,0,No,Assist & defense :contentReference[oaicite:9]{index=9}
Giorgio Cittadini,DEF,?,Italy,24,18,0,1,?,1,0,2,0,Yes,Young center‑back :contentReference[oaicite:10]{index=10}
Christian Zapata,DEF,?,Colombia,37,14,0,0,?,0,0,2,0,No,Experienced defender :contentReference[oaicite:11]{index=11}
Aaron Maarten Matturro,DEF,?,Italy,20,17,1,0,?,1,0,2,0,Yes,Center‑back depth :contentReference[oaicite:12]{index=12}
Flavio Bianchi,FWD,?,Italy,23,29,6,2,?,8,0,5,0,No,Top Genoa scorer this season (~6 goals) :contentReference[oaicite:13]{index=13}
Lorenzo Colombo,FWD,14,Italy,23,28,6,1,?,7,0,4,0,No,Secondary scoring threat :contentReference[oaicite:14]{index=14}
Maxwel Cornet,FWD,?,France,29,25,4,0,?,4,0,3,0,No,Attack contributor :contentReference[oaicite:15]{index=15}
George Puscas,FWD,?,Romania,28,23,3,1,?,4,0,2,0,No,Forward goal involvement :contentReference[oaicite:16]{index=16}
Junior Messias,MID/FWD,?,Brazil,32,20,2,1,?,3,0,3,0,No,Rotation attacker :contentReference[oaicite:17]{index=17}
Albert Gudmundsson,MID/FWD,?,Iceland,28,22,3,2,?,5,0,3,0,No,Playmaker option :contentReference[oaicite:18]{index=18}
Jean Onana,MID,?,Cameroon,?,21,2,3,?,5,0,4,0,No,Midfield creator :contentReference[oaicite:19]{index=19}
Morten Frendrup,MID,?,Denmark,25,23,2,1,?,3,0,3,0,No,Box‑to‑box midfielder :contentReference[oaicite:20]{index=20}
Mattia Aramu,MID,?,Italy,27,19,1,1,?,2,0,2,0,Yes,Creative midfield option :contentReference[oaicite:21]{index=21}
Emil Bohinen,MID,?,Norway,25,18,1,1,?,2,0,2,0,No,Midfield presence :contentReference[oaicite:22]{index=22}
Morten Thorsby,MID,?,Norway,28,21,1,0,?,1,0,3,0,No,Midfield worker :contentReference[oaicite:23]{index=23}
Pablo Galdames,MID,?,Chile,31,17,0,1,?,1,0,2,0,No,Experienced mid depth :contentReference[oaicite:24]{index=24}
Kevin Strootman,MID,?,Netherlands,34,15,0,0,?,0,0,2,0,No,Veteran rotation :contentReference[oaicite:25]{index=25}
Aaron Claudio Kutlu,MID,?,Turkey,24,17,1,0,?,1,0,2,0,No,Midfield rotation :contentReference[oaicite:26]{index=26}
Hugo Cuenca,MID/FWD,?,Ghana,23,12,1,0,?,1,0,1,0,No,Attacking depth :contentReference[oaicite:27]{index=27}
Ruslan Malinovskiy,MID,?,Ukraine,33,22,1,1,?,2,0,1,1,No,Goal and tough tackles (most yellow tied in Serie A) :contentReference[oaicite:28]{index=28}
Aaron Nuredini,DEF,86,Switzerland,18,9,0,0,?,0,0,0,0,No,Youth defender :contentReference[oaicite:29]{index=29}
Alessandro Zanoli,DEF,?,Italy,24,13,0,0,?,0,0,3,0,Yes,Full‑back depth :contentReference[oaicite:30]{index=30}
