Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Lorenzo Montipò,GK,1,Italy,29,20,0,0,1800,0,3,5,0,Yes,First‑choice keeper with most minutes and clean sheets for Verona this season:contentReference[oaicite:1]{index=1}
Simone Perilli,GK,34,Italy,31,3,0,0,270,0,1,1,0,No,Backup goalkeeper with limited apps:contentReference[oaicite:2]{index=2}
Gift Orban,FWD,9,Nigeria,23,22,7,1,1576,8,0,4,1,No,Top scorer for the club this season:contentReference[oaicite:3]{index=3}
Giovane,FWD/MID,?,Brazil,22,19,3,4,1533,7,0,2,0,No,Creative forward with most assists:contentReference[oaicite:4]{index=4}
Rafik Belghali,DEF,7,Algeria,23,15,2,0,1124,2,0,8,0,No,Right‑back/squad defender with goals:contentReference[oaicite:5]{index=5}
Antoine Bernède,MID,24,France,23,24,1,2,?,3,0,1,0,No,Midfielder with goals & assists:contentReference[oaicite:6]{index=6}
Daniel Mosquera,FWD,25,Colombia,16,2,5,?,5,0,1,0,No,Impact sub forward with goals & assists:contentReference[oaicite:7]{index=7}
Victor Nelsson,DEF,?,Denmark,27,24,0,0,2146,0,0,5,0,No,Center‑back starter with aerial presence:contentReference[oaicite:8]{index=8}
Unai Núñez,DEF,5,Spain,29,17,0,0,1265,0,0,2,0,No,Experienced center‑back starter:contentReference[oaicite:9]{index=9}
Roberto Gagliardini,MID,18,Italy,31,18,1,0,1315,1,0,4,0,No,Veteran midfielder:contentReference[oaicite:10]{index=10}
Martin Frese,MID,36,Denmark,28,19,1,0,1476,1,0,3,0,No,Box‑to‑box mid rotation:contentReference[oaicite:11]{index=11}
Abdou Harroui,MID,21,Morocco,?,12,0,0,?,0,0,?,0,No,Midfielder depth option:contentReference[oaicite:12]{index=12}
Jean‑Daniel Akpa Akpro,MID,11,Ivory Coast,?,9,0,0,?,0,0,4,0,No,Midfield rotation:contentReference[oaicite:13]{index=13}
Amin Sarr,FWD,?,Sweden,24,23,0,1,830,1,0,17,0,No,Forward who chips in assists:contentReference[oaicite:14]{index=14}
Rafik Belghali (dup removed),…,…,…,…,…,…,…,…,…,…,…,…  
Nicolás Valentini,DEF,6,Argentina,?,12,0,0,830,0,0,8,0,No,Defensive rotation:contentReference[oaicite:15]{index=15}
Daniel Oyegoke,DEF,2,England,?,?,0,0,700?,0,0,?,0,No,Young right back option:contentReference[oaicite:16]{index=16}
Grigoris Kastanos,MID,20,Greece,?,6,0,1,?,1,0,?,0,No,Midfielder squad option:contentReference[oaicite:17]{index=17}
Fallou Cham,MID,70,Senegal,?,6,0,4,?,4,0,?,0,No,Rotation wing option:contentReference[oaicite:18]{index=18}
Pol Lirola,DEF,14,Spain,?,3,0,1,?,1,0,?,0,No,Full‑back/minutes basis:contentReference[oaicite:19]{index=19}
