Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Yann Sommer,GK,1,Switzerland,37,26,0,0,2340,0,12,2,0,No,First‑choice keeper, high clean sheets in Serie A†:contentReference[oaicite:2]{index=2}
Raffaele Di Gennaro,GK,12,Italy,32,5,0,0,450,0,1,0,0,Yes,Backup keeper (cup/rotation):contentReference[oaicite:3]{index=3}
Josep Martínez,GK,13,Spain,27,3,0,0,270,0,0,0,0,No,Third goalkeeper:contentReference[oaicite:4]{index=4}
Denzel Dumfries,DEF,2,Netherlands,29,26,5,3,?,8,0,6,1,0,No,Right‑back with goals/assists†:contentReference[oaicite:5]{index=5}
Stefan de Vrij,DEF,6,Netherlands,34,24,0,1,?,1,0,4,0,1,No,Center‑back†:contentReference[oaicite:6]{index=6}
Francesco Acerbi,DEF,15,Italy,38,25,0,1,?,1,0,5,0,0,No,Center‑back veteran:contentReference[oaicite:7]{index=7}
Manuel Akanji,DEF,25,Switzerland,30,26,0,1,?,1,0,3,0,0,No,Center‑back anchor:contentReference[oaicite:8]{index=8}
Carlos Augusto,DEF,30,Brazil,27,24,1,1,?,2,0,3,0,0,No,Full‑back & attack threat†:contentReference[oaicite:9]{index=9}
Yann Bisseck,DEF,31,Germany,25,25,0,1,?,1,0,2,0,0,No,Defender rotation﻿:contentReference[oaicite:10]{index=10}
Federico Dimarco,DEF,32,Italy,28,26,6,14,?,20,0,2,0,Yes,Left‑back creative assist leader†:contentReference[oaicite:11]{index=11}
Matteo Darmian,DEF,36,Italy,36,11,0,0,?,0,0,1,0,Yes,Full‑back veteran:contentReference[oaicite:12]{index=12}
Alessandro Bastoni,DEF,95,Italy,26,26,1,4,?,5,0,6,0,Yes,Center‑back & assist contributor†:contentReference[oaicite:13]{index=13}
Piotr Zieliński,MID,7,Poland,31,25,5,2,?,7,0,3,0,No,Central midfielder goal/assist maker†:contentReference[oaicite:14]{index=14}
Petar Sučić,MID,8,Croatia,22,26,5,3,?,8,0,2,0,No,Midfield rotation & scoring threat†:contentReference[oaicite:15]{index=15}
Nicolò Barella,MID,23,Italy,29,25,3,5,?,8,0,4,0,Yes,Key midfielder†:contentReference[oaicite:16]{index=16}
Hakan Çalhanoğlu,MID,20,Turkey,32,26,8,2,?,10,0,6,0,No,Attacking midfield star†:contentReference[oaicite:17]{index=17}
Davide Frattesi,MID,16,Italy,26,20,2,2,?,4,0,2,0,No,Box‑to‑box midfielder†:contentReference[oaicite:18]{index=18}
Andy Diouf,MID,17,France,22,14,1,1,?,2,0,1,0,No,Young midfielder:contentReference[oaicite:19]{index=19}
Henrikh Mkhitaryan,MID,22,Armenia,37,12,2,2,?,4,0,1,0,No,Veteran creator:contentReference[oaicite:20]{index=20}
Marcus Thuram,FWD,9,France,28,24,7,3,?,10,0,3,0,No,Main forward contributor†:contentReference[oaicite:21]{index=21}
Lautaro Martínez,FWD,10,Argentina,28,26,14,4,?,18,0,3,0,No,Team top scorer†:contentReference[oaicite:22]{index=22}
Luis Henrique,FWD,11,Brazil,24,20,4,2,?,6,0,2,0,No,Forward rotation threat†:contentReference[oaicite:23]{index=23}
Ange‑Yoan Bonny,FWD,14,France,22,25,5,3,?,8,0,3,0,No,Forward contributor†:contentReference[oaicite:24]{index=24}
Pio Esposito,FWD,94,Italy,20,25,4,4,?,8,0,2,0,Yes,Rising young forward†:contentReference[oaicite:25]{index=25}
