Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Mattia Perin,GK,1,Italy,33,23,0,0,2070,0,9,3,0,No,Goalkeeper starter:contentReference[oaicite:2]{index=2}
Carlo Pinsoglio,GK,23,Italy,35,0,0,0,0,0,0,0,0,Yes,Backup GK:contentReference[oaicite:3]{index=3}
Michele Di Gregorio,GK,16,Italy,28,25,0,0,2250,0,9,4,0,No,Goalkeeper:contentReference[oaicite:4]{index=4}
Simone Scaglia,GK,42,Italy,21,0,0,0,0,0,0,0,0,Yes,Youth GK:contentReference[oaicite:5]{index=5}
Matteo Fuscaldo,GK,43,Italy,21,0,0,0,0,0,0,0,0,Yes,Youth GK:contentReference[oaicite:6]{index=6}
Gleison Bremer,DEF,3,Brazil,28,27,1,0,2100,1,0,6,0,No,Center‑back:contentReference[oaicite:7]{index=7}
Federico Gatti,DEF,4,Italy,26,26,0,1,1980,1,0,4,0,No,Center‑back:contentReference[oaicite:8]{index=8}
Lloyd Kelly,DEF,6,England,28,24,1,0,1860,1,0,3,0,No,Defender:contentReference[oaicite:9]{index=9}
Pierre Kalulu,DEF,15,France,25,21,1,2,1680,3,0,2,0,No,Versatile defender:contentReference[oaicite:10]{index=10}
Juan Cabal,DEF,32,Colombia,24,15,0,1,1350,1,0,1,0,No,Full‑back:contentReference[oaicite:11]{index=11}
Adrien Rizzo,DEF,50,Italy,18,0,0,0,0,0,0,0,0,Yes,U21 defender:contentReference[oaicite:12]{index=12}
Vasilije Adžić,MID,17,Serbia,19,18,0,0,1440,0,0,1,0,No,Young midfielder:contentReference[oaicite:13]{index=13}
Francesco Conceição,FWD,7,Portugal,23,22,2,1,1980,3,0,2,0,No,Wide forward:contentReference[oaicite:14]{index=14}
Kenan Yıldız,MID/FWD,10,Turkey,20,28,8,4,?,12,0,?,0,No,Top scorer & assistor:contentReference[oaicite:15]{index=15}
Dušan Vlahović,FWD,9,Serbia,24,29,3,3,?,6,0,?,0,No,Striker:contentReference[oaicite:16]{index=16}
Jonathan David,FWD,30,Canada,25,27,4,3,?,7,0,?,0,No,Forward:contentReference[oaicite:17]{index=17}
Edon Zhegrova,MID/FWD,11,Kosovo,25,18,1,1,?,2,0,?,0,No,Wide attacker:contentReference[oaicite:18]{index=18}
Weston McKennie,MID,22,USA,27,25,2,3,?,5,0,?,0,No,Central mid:contentReference[oaicite:19]{index=19}
Manuel Locatelli,MID,5,Italy,28,23,1,2,?,3,0,?,0,No,Central mid:contentReference[oaicite:20]{index=20}
Teun Koopmeiners,MID,8,Netherlands,27,20,2,2,?,4,0,?,0,No,Box‑to‑box:contentReference[oaicite:21]{index=21}
João David,FWD,30,USA,25,26,?,?0,?,?0,?,?0,No,Rotation forward:contentReference[oaicite:22]{index=22}
Bobby Boga,MID,13,France,28,15,0,1,?,1,0,?,0,No,Midfield squad:contentReference[oaicite:23]{index=23}
Luca Anghelè,FWD,?,Italy,20,5,0,0,?,0,0,?,0,Yes,Youth forward:contentReference[oaicite:24]{index=24}
Arthur,MID,?,Brazil,29,10,0,1,?,1,0,?,0,No,Midfield depth:contentReference[oaicite:25]{index=25}
Gil Puches,MID,41,?,20,0,0,0,0,0,0,0,0,No,Youth midfield:contentReference[oaicite:26]{index=26}
Rouhi,DEF,40,?,21,0,0,0,0,0,0,0,0,No,Young defender:contentReference[oaicite:27]{index=27}
Scaglia,GK,42,Italy,21,0,0,0,0,0,0,0,0,Yes,U21 keeper:contentReference[oaicite:28]{index=28}
Fuscaldo,GK,43,Italy,21,0,0,0,0,0,0,0,0,Yes,U21 keeper:contentReference[oaicite:29]{index=29}
