Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Wladimiro Falcone,GK,30,Italy,30,28,0,0,2520,0,9,3,0,No,First‑choice keeper with solid clean sheets in Serie A:contentReference[oaicite:1]{index=1}
Christian Früchtl,GK,1,Germany,25,1,0,0,90,0,0,0,0,No,Backup GK with few apps:contentReference[oaicite:2]{index=2}
Jasper Samooja,GK,32,Finland,22,15,0,0,1350,0,2,1,0,No,Rotational goalkeeper:contentReference[oaicite:3]{index=3}
Kialonda Gaspar,DEF,4,Portugal,26,26,1,0,2340,1,0,6,0,No,Center‑back with defensive minutes:contentReference[oaicite:4]{index=4}
Danilo Veiga,DEF,17,Portugal,23,24,0,1,2160,1,0,6,0,No,Right‑back with assist contribution:contentReference[oaicite:5]{index=5}
Antonino Gallo,DEF,25,Italy,24,25,1,1,2250,2,0,5,0,Yes,Left‑back starter:contentReference[oaicite:6]{index=6}
Tiago Gabriel,DEF,44,Brazil,24,22,0,0,1980,0,0,4,0,No,Center‑back rotation:contentReference[oaicite:7]{index=7}
Ylber Ramadani,MID,20,Albania/Kosovo,28,27,1,1,2430,2,0,7,0,No,Defensive midfielder with yellow cards:contentReference[oaicite:8]{index=8}
Lassana Coulibaly,MID,29,Mali,29,23,3,2,2070,5,0,4,0,No,Midfield goal + assist contributor:contentReference[oaicite:9]{index=9}
Medon Berisha,MID,10,Albania/Kosovo,22,23,2,3,2070,5,0,5,0,No,Assist leader this season:contentReference[oaicite:10]{index=10}
Lameck Banda,FWD,19,Zambia,24,26,3,3,?,6,0,6,0,No,Versatile attacker with goals & assists:contentReference[oaicite:11]{index=11}
Riccardo Sottil,FWD,23,Italy,26,24,2,2,?,4,0,3,0,No,Wide attacker with creative output:contentReference[oaicite:12]{index=12}
Nikola Štulić,FWD,?,Serbia,22,20,2,0,?,2,0,2,0,No,Forward with goal contributions:contentReference[oaicite:13]{index=13}
Omri Gandelman,FWD,?,Israel,25,22,2,1,?,3,0,2,0,No,Attacking rotation:contentReference[oaicite:14]{index=14}
Konan N'Dri,FWD,?,Ivory Coast,24,21,2,0,?,2,0,3,0,No,Forward option:contentReference[oaicite:15]{index=15}
Corrie Ndaba,DEF,3,Ireland/Ghana,24,18,0,0,1620,0,0,2,0,No,Backup defender:contentReference[oaicite:16]{index=16}
Jamil Siebert,DEF,5,Germany,21,1,0,0,90,0,0,0,0,No,Young defender (limited apps):contentReference[oaicite:17]{index=17}
Matías Pérez Sepúlveda,DEF,13,Chile,20,15,0,0,1350,0,0,3,0,No,Defender rotation:contentReference[oaicite:18]{index=18}
Other Youth,Various,0,Various,0,0,0,0,0,0,0,0,Yes,Various youth/academy players not yet featured:contentReference[oaicite:19]{index=19}
