Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Zion Suzuki,GK,?,Japan,23,13,0,0,1170,0,3,1,0,No,First‑choice keeper under 25, solid saves (~71% save rate) :contentReference[oaicite:1]{index=1}
Edoardo Corvi,GK,40,Italy,24,16,0,0,1440,0,6,1,0,Yes,Backup keeper with most Parma clean sheets :contentReference[oaicite:2]{index=2}
Filippo Rinaldi,GK,?,Italy,23,1,0,0,90,0,1,1,0,Yes,Third keeper with one appearance :contentReference[oaicite:3]{index=3}
Mateo Pellegrino,FWD,9,Argentina,25,30,8,1,2482,9,0,6,0,No,Top scorer & main attacking threat :contentReference[oaicite:4]{index=4}
Adrián Bernabé,MID,10,Spain,24,27,3,1,?,4,0,?,0,No,Creative midfielder with goals & assists :contentReference[oaicite:5]{index=5}
Hans Nicolussi Caviglia,MID,41,Italy,25,18,0,3,?,3,0,?,0,Yes,Assist leader among midfielders :contentReference[oaicite:6]{index=6}
Emanuele Valeri,DEF,?,Italy,?,26,0,2,?,2,0,?,0,Yes,Full‑back with assists :contentReference[oaicite:7]{index=7}
Sascha Britschgi,DEF,?,Switzerland,?,25,0,2,?,2,0,?,0,No,Defensive contributor with assists :contentReference[oaicite:8]{index=8}
Enrico Del Prato,DEF,15,Italy,26,28,1,0,?,1,0,?,0,Yes,Experienced centre‑back with goal :contentReference[oaicite:9]{index=9}
Oliver Sørensen,MID,22,Denmark,24,28,1,0,?,1,0,?,0,No,Rotation midfield option :contentReference[oaicite:10]{index=10}
Christian Ordoñez,MID/FWD,24,Argentina,21,20,1,0,?,1,0,?,0,No,Attacking rotation :contentReference[oaicite:11]{index=11}
Gaetano Oristanio,MID/FWD,21,Italy,23,19,1,0,?,1,0,?,0,Yes,Young forward/mid rotation :contentReference[oaicite:12]{index=12}
Patrick Cutrone,FWD,+,Italy,?,15,1,0,?,1,0,?,0,Yes,Striker depth contributor :contentReference[oaicite:13]{index=13}
Adrian Benedyczak,FWD,?,Poland,?,14,1,1,?,2,0,?,0,No,Forward with assists :contentReference[oaicite:14]{index=14}
Mariano Troilo,MID,?,Argentina,?,14,1,0,?,1,0,?,1,No,Goal + discipline awareness (RC stats) :contentReference[oaicite:15]{index=15}
Mandela Keita,MID,16,Belgium,23,29,0,1,?,1,0,?,0,No,Box‑to‑box midfielder :contentReference[oaicite:16]{index=16}
Nahuel Estévez,MID,?,Argentina,?,26,0,0,?,0,0,?,0,No,Midfield depth :contentReference[oaicite:17]{index=17}
Jacob Ondrejka,FWD,17,Sweden,23,15,0,0,?,0,0,?,0,No,Rotation attacker :contentReference[oaicite:18]{index=18}
Pontus Almqvist,FWD,11,Sweden,26,9,0,0,?,0,0,?,0,No,Young forward :contentReference[oaicite:19]{index=19}
Abdoulaye Ndiaye,DEF,?,Senegal,23,7,0,0,?,0,0,?,0,No,Defensive option :contentReference[oaicite:20]{index=20}
Gabriel Strefezza,FWD,7,Brazil,28,5,0,1,?,1,0,?,0,No,Winger contributor :contentReference[oaicite:21]{index=21}
Edoardo Corvi (dup removed),…,…,…,…,…,…,…,…,…,…,…,…,…  
Youth & No Apps,Various Youth Players,0,0,0,0,0,0,0,0,Yes,Youth/academy players no senior apps :contentReference[oaicite:22]{index=22}
