Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Adrian Šemper,GK,1,Croatia,28,17,0,0,1020,0,4,2,0,No,Main goalkeeper with most apps this season :contentReference[oaicite:1]{index=1}
Simone Scuffet,GK,22,Italy,29,7,0,0,630,0,3,4,0,Yes,Backup GK used in rotation :contentReference[oaicite:2]{index=2}
Nícolas Andrade,GK,12,Brazil,37,2,0,0,180,0,0,0,0,No,Third keeper with a couple apps :contentReference[oaicite:3]{index=3}
Tommaso Guizzo,GK,34,Italy,16,0,0,0,0,0,0,0,0,Yes,Youth GK (no senior apps) :contentReference[oaicite:4]{index=4}
Arturo Calabresi,DEF,33,Italy,35,?,1,1,?,2,0,?,0,No,Experienced defender, contributes occasional goal/assist :contentReference[oaicite:5]{index=5}
Simone Canestrelli,DEF,5,Italy,25,?,0,1,?,1,0,?,0,Yes,Center‑back rotation :contentReference[oaicite:6]{index=6}
Francesco Coppola,DEF,26,Italy,20,?,0,0,?,0,0,?,0,Yes,Young defender with minutes :contentReference[oaicite:7]{index=7}
T. Esteves,DEF,19,Portugal,23,?,0,1,?,1,0,?,0,No,Right‑back starter :contentReference[oaicite:8]{index=8}
Samuel Akinsanmiro,DEF,14,?,20,?,0,0,?,0,0,?,0,No,Defensive option :contentReference[oaicite:9]{index=9}
Ísak Vural,MID,21,Turkey,19,?,1,2,?,3,0,?,0,No,Creative mid with goal/assist contributions :contentReference[oaicite:10]{index=10}
Marius Marin,MID,?,Romania,26,?,0,1,?,1,0,?,0,No,Midfield starter :contentReference[oaicite:11]{index=11}
Michel Aebischer,MID,?,Switzerland,?,?,0,0,?,0,0,?,0,No,Midfield depth :contentReference[oaicite:12]{index=12}
Durosinmi,RW/FWD,17,Nigeria,23,?,2,0,?,2,0,?,0,No,Forward with key goals :contentReference[oaicite:13]{index=13}
Stefano Moreo,FWD,?,Italy,?,?,2,1,?,3,0,?,0,No,Goal involvements in Serie A :contentReference[oaicite:14]{index=14}
Jeremy Kandje Mbambi,MID/FWD,76,?,?,?,0,0,?,0,0,?,0,No,Forward squad option :contentReference[oaicite:15]{index=15}
Giovanni Bonfanti,DEF,94,?,?,0,0,0,0,0,0,0,0,No,Rotation/squad player :contentReference[oaicite:16]{index=16}
Daniel Denoon,DEF,44,?,21,?,0,1,?,1,0,?,0,No,Defensive rotation :contentReference[oaicite:17]{index=17}
Alessandro Arena,FWD,?,?,?,?,0,0,?,0,0,?,0,No,Young forward :contentReference[oaicite:18]{index=18}
