Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Mile Svilar,GK,99,Serbia,26,28,0,0,2520,0,13,2,0,No,First‑choice keeper, top clean sheet total in Serie A†:contentReference[oaicite:1]{index=1}
Pierluigi Gollini,GK,95,Italy,30,0,0,0,0,0,0,0,0,Yes,Backup keeper (no league apps):contentReference[oaicite:2]{index=2}
Alessio Marcaccini,GK,73,Italy,17,0,0,0,0,0,0,0,0,Yes,Youth keeper:contentReference[oaicite:3]{index=3}
Giorgio De Marzi,GK,70,USA,18,0,0,0,0,0,0,0,0,No,Backup youth keeper:contentReference[oaicite:4]{index=4}
Radosław Żelezny,GK,91,Poland,19,0,0,0,0,0,0,0,0,No,Youth keeper:contentReference[oaicite:5]{index=5}
Donyell Malen,FWD,14,Netherlands,28,25,8,1,2000,9,0,3,0,No,Top scorer overall this season (all comps):contentReference[oaicite:6]{index=6}
Matías Soulé,FWD/MID,18,Argentina,23,26,6,4,2100,10,0,4,0,No,Lead scorer/assist leader in league:contentReference[oaicite:7]{index=7}
Lorenzo Pellegrini,MID,7,Italy,28,20,3,2,1700,5,0,3,0,Yes,Creative midfielder:contentReference[oaicite:8]{index=8}
Wesley França,DEF,43,Brazil,22,24,4,0,1900,4,0,5,0,No,Goals from defense:contentReference[oaicite:9]{index=9}
Evan Ndicka,DEF,5,France,26,23,3,0,1950,3,0,4,0,No,Defense with goals:contentReference[oaicite:10]{index=10}
Evan Ferguson,FWD,11,Ireland,20,22,3,2,1800,5,0,2,0,No,Solid forward contributor:contentReference[oaicite:11]{index=11}
Artem Dovbyk,FWD,9,Ukraine,28,20,3,1,1750,4,0,1,0,No,Forward rotation:contentReference[oaicite:12]{index=12}
Paulo Dybala,FWD,21,Argentina,32,17,2,2,1450,4,0,3,0,No,Experience in attack:contentReference[oaicite:13]{index=13}
Bryan Cristante,MID,4,Italy,30,27,2,1,2250,3,0,3,0,Yes,Central midfield depth:contentReference[oaicite:14]{index=14}
Kouadio Koné,MID,17,Ivory Coast,23,25,2,2,2000,4,0,3,0,No,Midfield combo creator:contentReference[oaicite:15]{index=15}
Niccolò Pisilli,MID,61,Italy,21,15,1,2,1400,3,0,1,0,Yes,Young assist contributor:contentReference[oaicite:16]{index=16}
Zeki Çelik,DEF,19,Turkey,29,25,1,2,1900,3,0,2,0,No,Full‑back goal/assist:contentReference[oaicite:17]{index=17}
Gianluca Mancini,DEF,23,Italy,29,27,0,2,2100,2,0,6,0,Yes,Experienced center‑back with assists:contentReference[oaicite:18]{index=18}
Mario Hermoso,DEF,22,Spain,30,18,1,0,1500,1,0,1,0,No,Defensive rotation:contentReference[oaicite:19]{index=19}
Manu Koné,MID,8,France,23,25,2,2,2000,4,0,3,0,No,Midfield impact:contentReference[oaicite:20]{index=20}
Neil El Aynaoui,MID,13,Unknown,?,18,0,1,1300,1,0,1,0,No,Defensive midfield rotation:contentReference[oaicite:21]{index=21}
Devyné Rensch,DEF,2,Netherlands,20,15,0,1,1200,1,0,1,0,No,Young defender:contentReference[oaicite:22]{index=22}
Jan Ziólkowski,DEF,24,Poland,20,14,1,1,1150,2,0,1,0,No,Young defender:contentReference[oaicite:23]{index=23}
Stephan El Shaarawy,FWD,92,Italy,33,13,0,2,1100,2,0,1,0,No,Experienced forward/support:contentReference[oaicite:24]{index=24}
Kostas Tsimikas,DEF,12,Greece,29,14,0,0,900,0,0,1,0,No,Full‑back depth:contentReference[oaicite:25]{index=25}
Angeliño,DEF/MID,3,Spain,29,5,0,0,400,0,0,1,0,No,Full‑back/wing back option:contentReference[oaicite:26]{index=26}
Edoardo Morucci,MID/FWD,79,Italy,19,0,0,0,0,0,0,0,0,Yes,Young forward (no apps):contentReference[oaicite:27]{index=27}
Buba Sangaré,DEF,66,Spain,18,0,0,0,0,0,0,0,0,No,Youth defender (no apps):contentReference[oaicite:28]{index=28}
Jacopo Mirra,DEF,76,Italy,19,0,0,0,0,0,0,0,0,Yes,Youth defense (no apps):contentReference[oaicite:29]{index=29}
Alessandro Romano,MID,60,Switzerland,19,2,2,0,180,2,0,0,0,No,Young goals early:contentReference[oaicite:30]{index=30}
