Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Arijanet Murić,GK,49,Kosovo,27,26,0,0,2340,0,10,2,0,No,First‑choice keeper, lots of Serie A minutes :contentReference[oaicite:1]{index=1}
Stefano Turati,GK,13,Italy,24,1,0,0,90,0,0,0,0,Yes,Backup goalkeeper :contentReference[oaicite:2]{index=2}
Giacomo Satalino,GK,12,Italy,26,0,0,0,0,0,0,0,0,Yes,Youth keeper (no apps) :contentReference[oaicite:3]{index=3}
Josh Doig,DEF,3,Scotland,23,23,0,0,?,0,0,4,0,No,Right‑back/wing‑back :contentReference[oaicite:4]{index=4}
Jay Idzes,DEF,21,Indonesia,25,23,0,0,?,0,0,1,0,No,Center‑back :contentReference[oaicite:5]{index=5}
Sebastian Walukiewicz,DEF,6,Poland,25,23,0,1,?,1,0,5,0,No,Center‑back contributor :contentReference[oaicite:6]{index=6}
Fali Candé,DEF,5,Guinea‑Bissau,28,12,0,0,?,0,0,2,0,No,Defender rotation :contentReference[oaicite:7]{index=7}
Tarik Muharemović,DEF,80,Bosnia & Herzegovina,23,21,2,2,?,4,0,5,0,No,Defender with goals & assists :contentReference[oaicite:8]{index=8}
Ulisses Garcia,DEF,23,Switzerland,30,1,0,0,?,0,0,0,0,No,Full‑back depth :contentReference[oaicite:9]{index=9}
Woyo Coulibaly,DEF,25,Mali,26,9,0,0,?,0,0,0,0,No,Backup defender :contentReference[oaicite:10]{index=10}
F ilippo Romagna,DEF,19,Italy,28,3,0,0,?,0,0,1,0,Yes,Defensive option :contentReference[oaicite:11]{index=11}
Luca Barani,DEF,34,Italy,19,0,0,0,0,0,0,0,0,Yes,Youth defender :contentReference[oaicite:12]{index=12}
Cristian Volpato,MID,33,Italy,19,0,0,0,0,0,0,0,0,No,Midfield youth :contentReference[oaicite:13]{index=13}
Luca Lipani,MID,35,Italy,20,11,0,0,?,0,0,2,0,Yes,Young midfielder :contentReference[oaicite:14]{index=14}
Aster Vranckx,MID,40,Belgium,23,13,5,0,?,5,0,1,0,No,Midfield box‑to‑box :contentReference[oaicite:15]{index=15}
Kristian Thorstvedt,MID,42,Norway,26,19,5,2,?,7,0,6,0,No,Midfield goals & assists :contentReference[oaicite:16]{index=16}
Nemanja Matić,MID,18,Serbia,37,23,1,1,?,2,0,6,1,No,Veteran midfielder :contentReference[oaicite:17]{index=17}
Edoardo Iannoni,MID,44,Italy,24,11,1,1,?,2,0,3,0,No,Midfield contributor :contentReference[oaicite:18]{index=18}
Ismaël Koné,MID,90,Canada,23,21,1,4,?,5,0,2,1,No,Midfield scorer & assist :contentReference[oaicite:19]{index=19}
Alieu Fadera,FWD,20,Gambia,24,22,14,2,?,16,0,3,0,No,Top attacking output :contentReference[oaicite:20]{index=20}
Luca Moro,FWD,24,Italy,25,11,10,0,?,10,0,1,0,Yes,Young striker with goals :contentReference[oaicite:21]{index=21}
Armand Laurienté,FWD,45,France,27,24,4,3,?,7,0,2,0,No,Forward contributor :contentReference[oaicite:22]{index=22}
Andrea Pinamonti,FWD,99,Italy,26,23,4,2,?,6,0,1,0,No,Forward scorer :contentReference[oaicite:23]{index=23}
M’Bala Nzola,FWD,8,Angola,29,17,3,0,?,3,0,1,1,No,Experienced forward :contentReference[oaicite:24]{index=24}
Cristian Frangella,FWD,?,Italy,19,0,0,0,0,0,0,0,0,No,Youth forward :contentReference[oaicite:25]{index=25}
Pedro Felipe,DEF,66,Brazil,21,0,0,0,0,0,0,0,0,No,Youth defender :contentReference[oaicite:26]{index=26}
Tommaso Macchioni,DEF,31,Italy,19,0,0,0,0,0,0,0,0,Yes,Youth defense :contentReference[oaicite:27]{index=27}
Gioele Zacchi,GK,16,Italy,22,0,0,0,0,0,0,0,0,Yes,Youth keeper :contentReference[oaicite:28]{index=28}
