Player Name,Position,Squad Number,Nationality,Age,Appearances,Goals,Assists,Minutes Played,Goals Plus Assists,Clean Sheets,Yellow Cards,Red Cards,Home Grown,Notes
Maduka Okoye,GK,40,Nigeria,26,15,0,0,1350,0,4,1,0,No,First‑choice keeper in Serie A :contentReference[oaicite:1]{index=1}
Razvan Sava,GK,90,Romania,23,7,0,0,630,0,1,1,0,No,Backup keeper :contentReference[oaicite:2]{index=2}
Daniele Padelli,GK,93,Italy,40,2,0,0,180,0,0,0,0,Yes,Veteran GK depth :contentReference[oaicite:3]{index=3}
Alessandro Nunziante,GK,1,Italy,18,0,0,0,0,0,0,0,0,Yes,Youth keeper :contentReference[oaicite:4]{index=4}
Keinan Davis,FWD,9,England,27,22,10,2,?,12,0,4,0,No,Team top scorer this season :contentReference[oaicite:5]{index=5}
Florian Thauvin,FWD,10,France,32,22,4,4,?,8,0,5,0,No,Playmaker & winger :contentReference[oaicite:6]{index=6}
Hassane Kamara,DEF/MID,11,Ivory Coast,32,17,1,1,?,2,0,3,0,No,Versatile wing defender :contentReference[oaicite:7]{index=7}
Nicolò Bertola,DEF,13,Italy,22,23,1,0,?,1,0,3,0,Yes,Defender with starts :contentReference[oaicite:8]{index=8}
Kingsley Ehizibue,DEF,19,Netherlands,30,23,2,1,?,3,0,4,0,No,Right‑back contributor :contentReference[oaicite:9]{index=9}
Christian Kabasele,DEF,27,Belgium,35,21,2,3,?,5,0,3,0,No,Experienced center‑back :contentReference[oaicite:10]{index=10}
Oumar Solet,DEF,28,France,26,26,1,3,?,4,0,4,0,No,Central defender :contentReference[oaicite:11]{index=11}
Thomas Kristensen,DEF,31,Denmark,24,18,0,2,?,2,0,2,0,No,Defender start rotation :contentReference[oaicite:12]{index=12}
Oier Zarraga,MID,6,Spain,27,26,2,4,?,6,0,3,0,No,Midfield engine :contentReference[oaicite:13]{index=13}
Jesper Karlström,MID,8,Sweden,30,26,3,1,?,4,0,4,0,No,Midfield leader & cards leader :contentReference[oaicite:14]{index=14}
Jakub Piotrowski,MID,24,Poland,27,22,1,2,?,3,0,3,0,No,Box‑to‑box mid :contentReference[oaicite:15]{index=15}
Nicolò Zaniolo,MID/FWD,10,Italy,26,22,4,1,?,5,0,5,0,No,Creative attacker & assists leader :contentReference[oaicite:16]{index=16}
Jurgen Ekkelenkamp,MID,32,Netherlands,25,22,2,2,?,4,0,2,0,No,Midfield rotation :contentReference[oaicite:17]{index=17}
Arthur Atta,MID,14,Ivory Coast,22,21,1,1,?,2,0,3,0,No,Energy mid :contentReference[oaicite:18]{index=18}
Jordan Zemura,DEF,33,Scotland,25,21,1,1,?,2,0,3,0,No,Left mid/wing‑back :contentReference[oaicite:19]{index=19}
Hassane Kamara (dup removed),…,…,…,…,…,…,…,…,…
Brenner,FWD,22,Brazil,?,?,1,1,?,2,0,1,0,No,Attack depth :contentReference[oaicite:20]{index=20}
Vakoun Bayo,FWD,15,DR Congo,28,13,1,0,?,1,0,1,0,No,Forward rotation :contentReference[oaicite:21]{index=21}
Iker Bravo,FWD,17,Spain,20,8,1,0,?,1,0,1,0,No,Young striker depth :contentReference[oaicite:22]{index=22}
Abdoulaye Camara,DEF,29,France‑Guinea,?,0,0,0,0,0,0,0,0,No,Young squad (no apps) :contentReference[oaicite:23]{index=23}
David Pejicic,MID,79,Bosnia & Herzegovina,?,0,0,0,0,0,0,0,0,No,Cameo youth(BFP) :contentReference[oaicite:24]{index=24}
Sandi Lovric,MID,4,Croatia,? (on loan elsewhere),0,0,0,0,0,0,0,0,No,Loan/away :contentReference[oaicite:25]{index=25}
Matteo Palma,DEF,16,Italy,? (on loan),0,0,0,0,0,0,0,0,Yes,Loan defender :contentReference[oaicite:26]{index=26}
