Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
08/08/25,Birmingham City,Ipswich Town,1,1,D,0,0,D
09/08/25,Charlton Athletic,Watford,1,0,H,0,0,D
09/08/25,Coventry City,Hull City,0,0,D,,,
09/08/25,Southampton,Wrexham,2,1,H,0,1,A
09/08/25,Middlesbrough,Swansea City,1,0,H,0,0,D
09/08/25,Norwich City,Millwall,1,2,A,0,0,D
09/08/25,Oxford United,Portsmouth,0,1,A,0,1,A
09/08/25,Queens Park Rangers,Preston North End,1,1,D,1,0,H
09/08/25,Stoke City,Derby County,3,1,H,0,0,D
09/08/25,West Bromwich Albion,Blackburn Rovers,1,0,H,1,0,H
09/08/25,Sheffield United,Bristol City,1,4,A,1,2,A
10/08/25,Leicester City,Sheffield Wednesday,2,1,H,0,1,A
