First Round,2023-08-08,Huddersfield,Middlesbrough,2,3,FT,Red card Huddersfield
First Round,2023-08-08,Swansea,Northampton Town,3,0,FT,
First Round,2023-08-08,Mansfield Town,Grimsby Town,2,0,FT,
First Round,2023-08-08,Newport County,Charlton,3,1,FT,
First Round,2023-08-08,Peterborough,Swindon Town,1,1,FT,P (4-1)
First Round,2023-08-08,Barnsley,Tranmere,2,2,FT,P (6-7)
First Round,2023-08-08,Exeter City,Crawley Town,2,1,FT,
First Round,2023-08-08,Derby County,Blackpool,0,2,FT,
First Round,2023-08-08,Blackburn Rovers,Walsall,4,3,FT,
First Round,2023-08-08,Port Vale,Fleetwood,3,2,FT,
First Round,2023-08-08,Sutton United,Cambridge United,2,2,FT,P (6-5)
First Round,2023-08-08,MK Dons,Wycombe,0,2,FT,
First Round,2023-08-08,Stoke City,West Brom,2,1,FT,
First Round,2023-08-08,Forest Green,Portsmouth,1,3,FT,
First Round,2023-08-08,Plymouth,Leyton Orient,2,0,FT,
First Round,2023-08-08,Bolton,Barrow,1,0,FT,
First Round,2023-08-08,Gillingham,Southampton,3,1,FT,
First Round,2023-08-08,Rotherham,Morecambe,1,1,FT,P (4-2)
First Round,2023-08-08,Cheltenham,Birmingham,0,2,FT,
First Round,2023-08-08,Accrington Stanley,Bradford City,1,1,FT,P (1-4)
First Round,2023-08-08,Stevenage,Watford,1,1,FT,P (4-3)
First Round,2023-08-08,Hull City,Doncaster,1,2,FT,
First Round,2023-08-08,Millwall,Reading,0,4,FT,
First Round,2023-08-08,Sheffield Wednesday,Stockport,1,1,FT,P (4-1)
First Round,2023-08-08,Sunderland,Crewe Alexandra,1,1,FT,P (3-5)
First Round,2023-08-08,Notts County,Lincoln City,0,2,FT,Red card Notts County
First Round,2023-08-08,Preston,Salford City,2,2,FT,P (2-4)
First Round,2023-08-08,Harrogate Town,Carlisle,1,0,FT,
First Round,2023-08-08,Wrexham,Wigan Athletic,0,0,FT,P (4-2)
First Round,2023-08-09,Leeds United,Shrewsbury,2,1,FT,
First Round,2023-08-09,Bristol City,Oxford Utd,5,1,FT,
First Round,2023-08-09,AFC Wimbledon,Coventry,2,1,FT,
First Round,2023-08-09,Cardiff City,Colchester,2,2,FT,P (3-0),Red card Colchester
First Round,2023-08-09,Ipswich Town,Bristol Rovers,2,0,FT,
First Round,2023-08-09,Burton,Leicester City,0,2,FT,
First Round,2023-08-16,QPR,Norwich City,0,1,FT,

Second Round,2023-08-29,Swansea,Bournemouth,2,3,FT,
Second Round,2023-08-29,Bristol City,Norwich City,0,1,FT,
Second Round,2023-08-29,Plymouth,Crystal Palace,2,4,FT,
Second Round,2023-08-29,Fulham,Tottenham,1,1,FT,P (5-3)
Second Round,2023-08-29,Tranmere,Leicester City,0,2,FT,
Second Round,2023-08-29,Wycombe,Sutton United,0,1,FT,
Second Round,2023-08-29,Port Vale,Crewe Alexandra,0,0,FT,P (2-0)
Second Round,2023-08-29,Wolves,Blackpool,5,0,FT,
Second Round,2023-08-29,Wrexham,Bradford City,1,1,FT,P (3-4)
Second Round,2023-08-29,Birmingham,Cardiff City,1,3,FT,Red card Birmingham
Second Round,2023-08-29,Luton Town,Gillingham,3,2,FT,
Second Round,2023-08-29,Stoke City,Rotherham,6,1,FT,
Second Round,2023-08-29,Sheffield Wednesday,Mansfield Town,1,1,FT,P (4-5)
Second Round,2023-08-29,Newport County,Brentford,1,1,FT,P (0-3)
Second Round,2023-08-29,Bolton,Middlesbrough,1,3,FT,
Second Round,2023-08-29,Exeter City,Stevenage,1,1,FT,P (5-3)
Second Round,2023-08-29,Portsmouth,Peterborough,1,1,FT,P (4-5),Red card Peterborough
Second Round,2023-08-29,Reading,Ipswich Town,2,2,FT,P (1-3)
