Round,Date,HomeTeam,AwayTeam,HomeScore,AwayScore,ResultType,Notes
First Round,2024-08-13,Carlisle,Stoke City,0,2,FT,
First Round,2024-08-13,Stockport,Blackburn Rovers,1,6,FT,
First Round,2024-08-13,Leyton Orient,Newport County,4,1,FT,
First Round,2024-08-13,Huddersfield,Morecambe,3,0,FT,Red card Morecambe
First Round,2024-08-13,Crawley Town,Swindon Town,4,2,FT,
First Round,2024-08-13,Norwich City,Stevenage,4,3,FT,
First Round,2024-08-13,Wigan Athletic,Barnsley,1,1,FT,P (2-4)
First Round,2024-08-13,Northampton Town,Wycombe,0,2,FT,Red card Wycombe
First Round,2024-08-13,Fleetwood,West Brom,2,1,FT,
First Round,2024-08-13,Charlton,Birmingham,0,1,FT,Red card Birmingham
First Round,2024-08-13,Derby County,Chesterfield,2,1,FT,
First Round,2024-08-13,Walsall,Exeter City,1,1,FT,P (4-3)
First Round,2024-08-13,Tranmere,Accrington Stanley,3,0,FT,
First Round,2024-08-13,Cambridge United,QPR,1,2,FT,
First Round,2024-08-13,Salford City,Doncaster,0,2,FT,
First Round,2024-08-13,Preston,Sunderland,2,0,FT,
First Round,2024-08-13,Cardiff City,Bristol Rovers,2,0,FT,
First Round,2024-08-13,Bromley,AFC Wimbledon,1,2,FT,
First Round,2024-08-13,Watford,MK Dons,5,0,FT,
First Round,2024-08-13,Bristol City,Coventry,0,1,FT,
First Round,2024-08-13,Bolton,Mansfield Town,1,1,FT,P (5-4)
First Round,2024-08-13,Barrow,Port Vale,3,2,FT,
First Round,2024-08-13,Lincoln City,Harrogate Town,1,2,FT,
First Round,2024-08-13,Rotherham,Crewe Alexandra,2,1,FT,
First Round,2024-08-13,Burton,Blackpool,0,4,FT,Red card Burton
First Round,2024-08-13,Colchester,Reading,2,2,FT,P (4-3)
First Round,2024-08-13,Grimsby Town,Bradford City,1,1,FT,P (9-8)
First Round,2024-08-13,Portsmouth,Millwall,0,1,FT,
First Round,2024-08-13,Swansea,Gillingham,3,1,FT,Red card Gillingham
First Round,2024-08-13,Shrewsbury,Notts County,3,3,FT,P (4-3)
First Round,2024-08-13,Oxford Utd,Peterborough,2,0,FT,
First Round,2024-08-13,Sheffield United,Wrexham,4,2,FT,
