Competition,Round,Home Team,Home Country,Away Team,Away Country,Leg 1 Score,Leg 2 Score,Notes
Champions League,Preliminary Round,Atlètic Club d'Escaldes,And,Buducnost Podgorica,Mon,0-3,,
Champions League,Preliminary Round,Tre Penne,Sma,Breidablik,Isl,1-7,,
Champions League,Preliminary Round,Buducnost Podgorica,Mon,Breidablik,Isl,0-5,,
Champions League,1st Qualifying Round,BK Häcken,Swe,The New Saints,Wal,3-1,2-0,
Champions League,1st Qualifying Round,FC Ballkani,Kos,Ludogorets Razgrad,Bul,2-0,0-4,
Champions League,1st Qualifying Round,Shamrock Rovers,Irl,Breidablik,Isl,0-1,1-2,
Champions League,1st Qualifying Round,Zalgiris Vilnius,Lit,FC Struga,Mac,0-0,2-1,
Champions League,1st Qualifying Round,KI Klaksvik,Far,Ferencváros,Hun,0-0,3-0,
Champions League,1st Qualifying Round,Olimpija Ljubljana,Slo,Valmieras FK,Lat,2-1,2-1,
Champions League,1st Qualifying Round,HJK Helsinki,Fin,Larne FC,Nir,1-0,2-2,
Champions League,1st Qualifying Round,Lincoln Red Imps,Gib,Qarabag FK,Azb,1-2,0-4,
Champions League,1st Qualifying Round,Raków Czestochowa,Pol,Flora Tallinn,Est,1-0,3-0,
Champions League,1st Qualifying Round,Slovan Bratislava,Svk,Swift Hesperange,Lux,1-1,2-0,
Champions League,1st Qualifying Round,Farul Constanta,Rom,Sheriff Tiraspol,Mol,1-0,0-3,
Champions League,1st Qualifying Round,Hamrun Spartans,Mlt,Maccabi Haifa,Isr,0-4,1-2,
Champions League,1st Qualifying Round,Urartu FC,Arm,Zrinjski Mostar,Bos,0-1,3-2,Penalty shootout: Zrinjski Mostar 4 - 3 Urartu FC
Champions League,1st Qualifying Round,Partizani Tirana,Alb,BATE Borisov,Bls,1-1,0-2,
Champions League,1st Qualifying Round,FK Astana,Kaz,Dinamo Tbilisi,Geo,1-1,2-1,
Champions League,2nd Qualifying Round,Zalgiris Vilnius,Lit,Galatasaray,Tur,2-2,0-1,
Champions League,2nd Qualifying Round,Ludogorets Razgrad,Bul,Olimpija Ljubljana,Slo,1-1,1-2,
Champions League,2nd Qualifying Round,Raków Czestochowa,Pol,Qarabag FK,Azb,3-2,1-1,
