Competition,Round,Home Team,Home Country,Away Team,Away Country,Leg 1 Score,Leg 2 Score,Notes
Conference League,1st Qualifying Round,NSI Runavik,Far,HJK Helsinki,Fin,4-0,0-5,
Conference League,1st Qualifying Round,St. Patrick's Athletic,Irl,FC Hegelmann,Lit,1-0,2-0,
Conference League,1st Qualifying Round,FCB Magpies,Gib,Paide Linnameeskond,Est,2-3,1-4,
Conference League,1st Qualifying Round,Vllaznia Shkodër,Alb,BFC Daugavpils,Lat,0-1,4-2,
Conference League,1st Qualifying Round,Torpedo Kutaisi,Geo,Ordabasy Shymkent,Kaz,4-3,1-1,
Conference League,1st Qualifying Round,Decic Tuzi,Mon,Sileks Kratovo,Mac,2-0,1-2,
Conference League,1st Qualifying Round,Birkirkara,Mlt,Petrocub Hîncesti,Mol,1-0,0-3,
Conference League,1st Qualifying Round,Urartu FC,Arm,Neman Grodno,Bls,1-2,0-4,
Conference League,1st Qualifying Round,Zeljeznicar Sarajevo,Bos,NK Koper,Slo,1-1,1-3,
Conference League,1st Qualifying Round,Sutjeska Niksic,Mon,Dynamo Brest,Bls,1-2,2-0,
Conference League,1st Qualifying Round,Atlètic Club d'Escaldes,And,F91 Dudelange,Lux,2-0,3-2,
Conference League,1st Qualifying Round,Vardar Skopje,Mac,La Fiorita,Sma,3-0,2-2,
Conference League,1st Qualifying Round,SJK Seinäjoki,Fin,KI Klaksvik,Far,1-2,0-2,
Conference League,1st Qualifying Round,Larne FC,Nir,FK Auda,Lat,0-0,2-2,Penalty shootout: FK Auda 2 - 4 Larne FC
Conference League,1st Qualifying Round,Valur Reykjavik,Isl,Flora Tallinn,Est,3-0,2-1,
Conference League,1st Qualifying Round,Kauno Zalgiris,Lit,Penybont,Wal,3-0,1-1,
Conference League,1st Qualifying Round,Kalju Nomme,Est,Partizani Tirana,Alb,1-1,1-0,
Conference League,1st Qualifying Round,Floriana,Mlt,Haverfordwest County,Wal,2-1,3-2,
Conference League,1st Qualifying Round,KF Malisheva,Kos,Vikingur Reykjavik,Isl,0-1,0-8,
Conference League,1st Qualifying Round,St Joseph's FC,Gib,Cliftonville,Nir,2-2,3-2,
Conference League,1st Qualifying Round,Tre Fiori,Sma,Pyunik Yerevan,Arm,1-0,0-5,
Conference League,1st Qualifying Round,Torpedo Zhodino,Bls,Rabotnicki Skopje,Mac,3-0,1-0,
Conference League,1st Qualifying Round,Racing Union Luxembourg,Lux,Dila Gori,Geo,1-2,0-1,
Conference League,1st Qualifying Round,FK Borac Banja Luka,Bos,FC Santa Coloma,And,1-4,2-0,
Conference League,2nd Qualifying Round,Dundee United,Sco,UNA Strassen,Lux,1-0,1-0,
Conference League,2nd Qualifying Round,FC Ballkani,Kos,Floriana,Mlt,4-2,1-1,
Conference League,2nd Qualifying Round,NK Varazdin,Cro,CD Santa Clara,Por,2-1,0-2,
Conference League,2nd Qualifying Round,Vardar Skopje,Mac,Lausanne Sports,Sui,2-1,0-5,
Conference League,2nd Qualifying Round,St Joseph's FC,Gib,Shamrock Rovers,Irl,0-4,0-0,
Conference League,2nd Qualifying Round,Larne FC,Nir,FC Prishtina,Kos,0-0,1-1,Penalty shootout: FC Prishtina 4 - 5 Larne FC
Conference League,2nd Qualifying Round,Viking Stavanger,Nor,NK Koper,Slo,7-0,5-3,
Conference League,2nd Qualifying Round,Kauno Zalgiris,Lit,Valur Reykjavik,Isl,1-1,2-1,
Conference League,2nd Qualifying Round,HB Torshavn,Far,Brøndby IF,Den,1-1,0-1,
Conference League,2nd Qualifying Round,Ilves Tampere,Fin,AZ Alkmaar,Ned,4-3,0-5,
Conference League,2nd Qualifying Round,FC Kosice,Svk,Neman Grodno,Bls,2-3,1-1,
Conference League,2nd Qualifying Round,AEK Athens,Gre,Hapoel Beer-Sheva,Isr,1-0,0-0,
Conference League,2nd Qualifying Round,Paksi FC,Hun,NK Maribor,Slo,1-0,1-1,
Conference League,2nd Qualifying Round,FC Oleksandriya,Ukr,Partizan Belgrade,Srb,0-2,0-4,
Conference League,2nd Qualifying Round,Zira FK,Azb,Hajduk Split,Cro,1-1,1-2,
Conference League,2nd Qualifying Round,FC Vaduz,Lie,Dungannon Swifts,Nir,0-1,3-0,
Conference League,2nd Qualifying Round,Pyunik Yerevan,Arm,ETO Györ,Hun,2-1,1-3,
Conference League,2nd Qualifying Round,Vllaznia Shkodër,Alb,Vikingur Reykjavik,Isl,2-1,2-4,
Conference League,2nd Qualifying Round,Hibernians FC,Mlt,Spartak Trnava,Svk,1-2,1-5,
Conference League,2nd Qualifying Round,Arda Kardzhali,Bul,HJK Helsinki,Fin,0-0,2-2,Penalty shootout: HJK Helsinki 3 - 4 Arda Kardzhali
Conference League,2nd Qualifying Round,Silkeborg IF,Den,KA Akureyri,Isl,1-1,3-2,
Conference League,2nd Qualifying Round,Riga FC,Lat,Dila Gori,Geo,2-1,3-3,
Conference League,2nd Qualifying Round,Hammarby IF,Swe,Charleroi,Bel,0-0,2-1,
Conference League,2nd Qualifying Round,St. Patrick's Athletic,Irl,Kalju Nomme,Est,1-0,2-2,
Conference League,2nd Qualifying Round,FK Aktobe,Kaz,Sparta Praha,Cze,2-1,0-4,
Conference League,2nd Qualifying Round,Rosenborg BK,Nor,Banga Gargzdai,Lit,5-0,2-0,
Conference League,2nd Qualifying Round,Raków Czestochowa,Pol,MSK Zilina,Svk,3-0,3-1,
Conference League,2nd Qualifying Round,Radnicki 1923,Srb,KI Klaksvik,Far,0-0,0-1,
Conference League,2nd Qualifying Round,Paide Linnameeskond,Est,AIK Stockholm,Swe,0-2,0-6,
Conference League,2nd Qualifying Round,FK Astana,Kaz,Zimbru Chisinau,Mol,1-1,2-0,
Conference League,2nd Qualifying Round,Atlètic Club d'Escaldes,And,Dinamo Tirana,Alb,1-2,1-1,
Conference League,2nd Qualifying Round,Petrocub Hîncesti,Mol,Sabah FK,Azb,0-2,1-4,
Conference League,2nd Qualifying Round,Novi Pazar,Srb,Jagiellonia Bialystok,Pol,1-2,1-3,
Conference League,2nd Qualifying Round,FK Sarajevo,Bos,Universitatea Craiova,Rom,2-1,0-4,
Conference League,2nd Qualifying Round,Decic Tuzi,Mon,Rapid Wien,Aut,0-2,2-4,
Conference League,2nd Qualifying Round,Austria Wien,Aut,Spaeri Tbilisi,Geo,2-0,5-0,
Conference League,2nd Qualifying Round,Ararat-Armenia,Arm,Universitatea Cluj,Rom,0-0,2-1,
Conference League,2nd Qualifying Round,Polissya Zhytomyr,Ukr,FC Santa Coloma,And,1-2,4-1,
Conference League,2nd Qualifying Round,Aris Limassol,Cyp,Puskás Akadémia,Hun,3-2,2-0,
Conference League,2nd Qualifying Round,Torpedo Zhodino,Bls,Maccabi Haifa,Isr,1-1,0-3,
