Competition,Round,Home Team,Home Country,Away Team,Away Country,Leg 1 Score,Leg 2 Score,Notes
Europa League,1st Qualifying Round,Shakhtar Donetsk,Ukr,Ilves Tampere,Fin,6-0,0-0,
Europa League,1st Qualifying Round,Sheriff Tiraspol,Mol,FC Prishtina,Kos,4-0,1-2,
Europa League,1st Qualifying Round,Spartak Trnava,Svk,BK Häcken,Swe,0-1,2-2,
Europa League,1st Qualifying Round,Sabah FK,Azb,NK Celje,Slo,2-3,3-3,
Europa League,1st Qualifying Round,Legia Warsaw,Pol,FK Aktobe,Kaz,1-0,1-0,
Europa League,1st Qualifying Round,Levski Sofia,Bul,Hapoel Beer-Sheva,Isr,0-0,1-1,Penalty shootout: Hapoel Beer-Sheva 1 - 3 Levski Sofia
Europa League,1st Qualifying Round,AEK Larnaca,Cyp,Partizan Belgrade,Srb,1-0,1-2,Penalty shootout: Partizan Belgrade 5 - 6 AEK Larnaca
Europa League,1st Qualifying Round,Paksi FC,Hun,CFR Cluj,Rom,0-0,0-3,
Europa League,2nd Qualifying Round,FC Lugano,Sui,CFR Cluj,Rom,0-0,0-1,
Europa League,2nd Qualifying Round,NK Celje,Slo,AEK Larnaca,Cyp,1-1,1-2,
Europa League,2nd Qualifying Round,Levski Sofia,Bul,Sporting Braga,Por,0-0,0-1,
Europa League,2nd Qualifying Round,Baník Ostrava,Cze,Legia Warsaw,Pol,2-2,1-2,
Europa League,2nd Qualifying Round,Anderlecht,Bel,BK Häcken,Swe,1-0,1-2,Penalty shootout: BK Häcken 4 - 2 Anderlecht
Europa League,2nd Qualifying Round,Sheriff Tiraspol,Mol,FC Utrecht,Ned,1-3,1-4,
Europa League,2nd Qualifying Round,FC Midtjylland,Den,Hibernian,Sco,1-1,2-1,
Europa League,2nd Qualifying Round,Besiktas,Tur,Shakhtar Donetsk,Ukr,2-4,0-2,
Europa League,3rd Qualifying Round,AEK Larnaca,Cyp,Legia Warsaw,Pol,4-1,1-2,
Europa League,3rd Qualifying Round,Fredrikstad FK,Nor,FC Midtjylland,Den,1-3,0-2,
Europa League,3rd Qualifying Round,CFR Cluj,Rom,Sporting Braga,Por,1-2,0-2,
Europa League,3rd Qualifying Round,PAOK Thessaloniki,Gre,Wolfsberger AC,Aut,0-0,1-0,
Europa League,3rd Qualifying Round,Servette FC Genève,Sui,FC Utrecht,Ned,1-3,1-2,
Europa League,3rd Qualifying Round,BK Häcken,Swe,SK Brann Bergen,Nor,0-2,1-0,
Europa League,3rd Qualifying Round,Panathinaikos,Gre,Shakhtar Donetsk,Ukr,0-0,0-0,Penalty shootout: Shakhtar Donetsk 3 - 4 Panathinaikos
Europa League,3rd Qualifying Round,Lincoln Red Imps,Gib,FC Noah,Arm,1-1,0-0,Penalty shootout: FC Noah 5 - 6 Lincoln Red Imps
Europa League,3rd Qualifying Round,NK Rijeka,Cro,Shelbourne,Irl,1-2,3-1,
Europa League,3rd Qualifying Round,RFS Riga,Lat,KuPS Kuopio,Fin,1-2,0-1,
Europa League,3rd Qualifying Round,Hamrun Spartans,Mlt,Maccabi Tel-Aviv,Isr,1-2,1-3,
Europa League,3rd Qualifying Round,Zrinjski Mostar,Bos,Breidablik,Isl,1-1,2-1,
Europa League,3rd Qualifying Round,FCSB,Rom,FC Drita,Kos,3-2,3-1,
Europa League,Qualifying Play-off Round,Maccabi Tel-Aviv,Isr,Dynamo Kyiv,Ukr,3-1,0-1,
