Competition,Round,Date,Home Team,Away Team,Home Score,Away Score,Notes
FA Cup,1st Round,Oct 31 2025,Luton Town,Forest Green,4,3,
FA Cup,1st Round,Nov 1 2025,Chelmsford City,Braintree Town,4,1,
FA Cup,1st Round,Nov 1 2025,Salford City,Lincoln City,1,1,Penalty shootout: Salford City 4 - 2 Lincoln City
FA Cup,1st Round,Nov 1 2025,Mansfield Town,Harrogate Town,3,2,
FA Cup,1st Round,Nov 1 2025,Buxton,Chatham Town,2,1,
FA Cup,1st Round,Nov 1 2025,Bromley,Bristol Rovers,1,2,
FA Cup,1st Round,Nov 1 2025,Fleetwood,Barnet,2,1,
FA Cup,1st Round,Nov 1 2025,Weston-super-Mare,Aldershot Town,2,1,
FA Cup,1st Round,Nov 1 2025,Blackpool,Scunthorpe,1,0,
FA Cup,1st Round,Nov 1 2025,FC Halifax Town,Exeter City,0,2,
FA Cup,1st Round,Nov 1 2025,Wycombe,Plymouth,2,0,
FA Cup,1st Round,Nov 1 2025,Burton,St Albans City,6,0,
FA Cup,1st Round,Nov 1 2025,Sutton United,Telford United,2,1,
FA Cup,1st Round,Nov 1 2025,Crewe Alexandra,Doncaster,1,2,
FA Cup,1st Round,Nov 1 2025,Colchester,MK Dons,2,3,
FA Cup,1st Round,Nov 1 2025,Bolton,Huddersfield,2,1,
FA Cup,1st Round,Nov 1 2025,Newport County,Gillingham,2,2,Penalty shootout: Newport County 4 - 3 Gillingham
FA Cup,1st Round,Nov 1 2025,Cambridge United,Chester FC,3,0,
FA Cup,1st Round,Nov 1 2025,Spennymoor Town,Barrow,0,2,
FA Cup,1st Round,Nov 1 2025,Reading,Carlisle,2,3,
FA Cup,1st Round,Nov 1 2025,Boreham Wood,Crawley Town,3,0,
FA Cup,1st Round,Nov 1 2025,Macclesfield,AFC Totton,6,3,
FA Cup,1st Round,Nov 1 2025,Slough Town,Altrincham,2,1,
FA Cup,1st Round,Nov 1 2025,Tranmere,Stockport,1,3,
FA Cup,1st Round,Nov 1 2025,Cheltenham,Bradford City,1,0,
FA Cup,1st Round,Nov 1 2025,Wigan Athletic,Hemel Hempstead,1,1,Penalty shootout: Wigan Athletic 5 - 3 Hemel Hempstead
FA Cup,1st Round,Nov 1 2025,Rotherham,Swindon Town,1,2,
FA Cup,1st Round,Nov 1 2025,Oldham Athletic,Northampton Town,3,1,
FA Cup,1st Round,Nov 1 2025,Peterborough,Cardiff City,1,0,
FA Cup,1st Round,Nov 1 2025,Wealdstone,Southend Utd,1,0,
FA Cup,1st Round,Nov 1 2025,AFC Wimbledon,Gateshead,0,2,
FA Cup,1st Round,Nov 1 2025,Barnsley,York City,3,2,
FA Cup,1st Round,Nov 1 2025,Grimsby Town,Ebbsfleet United,3,1,
FA Cup,1st Round,Nov 1 2025,Stevenage,Chesterfield,0,1,
FA Cup,1st Round,Nov 1 2025,Brackley Town,Notts County,2,2,Penalty shootout: Brackley Town 4 - 3 Notts County
FA Cup,1st Round,Nov 2 2025,South Shields,Shrewsbury,1,3,
FA Cup,1st Round,Nov 2 2025,Eastleigh,Walsall,0,3,
FA Cup,1st Round,Nov 2 2025,Port Vale,Maldon & Tiptree,5,1,
FA Cup,1st Round,Nov 2 2025,Gainsborough Trinity,Accrington Stanley,1,2,
FA Cup,1st Round,Nov 3 2025,Tamworth,Leyton Orient,0,1,
FA Cup,2nd Round,Dec 5 2025,Salford City,Leyton Orient,4,0,
FA Cup,2nd Round,Dec 6 2025,MK Dons,Oldham Athletic,3,1,
FA Cup,2nd Round,Dec 6 2025,Chelmsford City,Weston-super-Mare,0,2,
FA Cup,2nd Round,Dec 6 2025,Grimsby Town,Wealdstone,4,0,
FA Cup,2nd Round,Dec 6 2025,Cheltenham,Buxton,6,2,
FA Cup,2nd Round,Dec 6 2025,Exeter City,Wycombe,4,0,
FA Cup,2nd Round,Dec 6 2025,Stockport,Cambridge United,0,0,Penalty shootout: Stockport 4 - 5 Cambridge United
FA Cup,2nd Round,Dec 6 2025,Accrington Stanley,Mansfield Town,2,2,Penalty shootout: Accrington Stanley 1 - 3 Mansfield Town
FA Cup,2nd Round,Dec 6 2025,Swindon Town,Bolton,4,0,
FA Cup,2nd Round,Dec 6 2025,Wigan Athletic,Barrow,2,2,Penalty shootout: Wigan Athletic 4 - 3 Barrow
FA Cup,2nd Round,Dec 6 2025,Peterborough,Barnsley,0,1,
FA Cup,2nd Round,Dec 6 2025,Port Vale,Bristol Rovers,1,0,
FA Cup,2nd Round,Dec 6 2025,Fleetwood,Luton Town,2,2,Penalty shootout: Fleetwood 4 - 2 Luton Town
FA Cup,2nd Round,Dec 6 2025,Sutton United,Shrewsbury,1,2,
FA Cup,2nd Round,Dec 6 2025,Chesterfield,Doncaster,1,2,
FA Cup,2nd Round,Dec 7 2025,Slough Town,Macclesfield,1,3,
FA Cup,2nd Round,Dec 7 2025,Boreham Wood,Newport County,3,0,
FA Cup,2nd Round,Dec 7 2025,Gateshead,Walsall,0,2,
FA Cup,2nd Round,Dec 7 2025,Blackpool,Carlisle,4,1,
FA Cup,2nd Round,Dec 8 2025,Brackley Town,Burton,1,3,
