Tournament,Host,Stage,Group,Date,Time,Team1,Score1,Team2,Score2,HalfTime,Stadium,Goals
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group A,Thu Jun 11,13:00 UTC-6,Mexico,0-0,South Africa,0-0,Mexico City Stadium, Mexico City,
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group A,Thu Jun 11,20:00 UTC-6,South Korea,0-0,UEFA Path D winner,0-0,Estadio Akron, Guadalajara (Zapopan),
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group A,Thu Jun 18,12:00 UTC-4,UEFA Path D winner,0-0,South Africa,0-0,Mercedes-Benz Stadium, Atlanta,
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group A,Thu Jun 18,19:00 UTC-6,Mexico,0-0,South Korea,0-0,Estadio Akron, Guadalajara (Zapopan),
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group A,Wed Jun 24,19:00 UTC-6,UEFA Path D winner,0-0,Mexico,0-0,Mexico City Stadium, Mexico City,
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group A,Wed Jun 24,19:00 UTC-6,South Africa,0-0,South Korea,0-0,Estadio BBVA, Monterrey (Guadalupe),
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group B,Fri Jun 12,15:00 UTC-4,Canada,0-0,UEFA Path A winner,0-0,BMO Field, Toronto,
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group B,Sat Jun 13,12:00 UTC-7,Qatar,0-0,Switzerland,0-0,Levi's Stadium, San Francisco Bay Area (Santa Clara),
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group B,Thu Jun 18,12:00 UTC-7,Switzerland,0-0,UEFA Path A winner,0-0,SoFi Stadium, Los Angeles (Inglewood),
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group B,Thu Jun 18,15:00 UTC-7,Canada,0-0,Qatar,0-0,BC Place, Vancouver,
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group B,Wed Jun 24,12:00 UTC-7,Switzerland,0-0,Canada,0-0,BC Place, Vancouver,
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group B,Wed Jun 24,12:00 UTC-7,UEFA Path A winner,0-0,Qatar,0-0,Lumen Field, Seattle,
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group C,Sat Jun 13,18:00 UTC-4,Brazil,0-0,Morocco,0-0,MetLife Stadium, New York/New Jersey (East Rutherford),
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group C,Sat Jun 13,21:00 UTC-4,Haiti,0-0,Scotland,0-0,Gillette Stadium, Boston (Foxborough),
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group C,Fri Jun 19,18:00 UTC-4,Scotland,0-0,Morocco,0-0,Gillette Stadium, Boston (Foxborough),
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group C,Fri Jun 19,21:00 UTC-4,Brazil,0-0,Haiti,0-0,Lincoln Financial Field, Philadelphia,
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group C,Wed Jun 24,18:00 UTC-4,Scotland,0-0,Brazil,0-0,Hard Rock Stadium, Miami (Miami Gardens),
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group C,Wed Jun 24,18:00 UTC-4,Morocco,0-0,Haiti,0-0,Mercedes-Benz Stadium, Atlanta,
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group D,Fri Jun 12,18:00 UTC-7,USA,0-0,Paraguay,0-0,SoFi Stadium, Los Angeles (Inglewood),
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group D,Sat Jun 13,21:00 UTC-7,Australia,0-0,UEFA Path C winner,0-0,BC Place, Vancouver,
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group D,Fri Jun 19,12:00 UTC-7,USA,0-0,Australia,0-0,Lumen Field, Seattle,
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group D,Fri Jun 19,21:00 UTC-7,UEFA Path C winner,0-0,Paraguay,0-0,Levi's Stadium, San Francisco Bay Area (Santa Clara),
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group D,Thu Jun 25,19:00 UTC-7,UEFA Path C winner,0-0,USA,0-0,SoFi Stadium, Los Angeles (Inglewood),
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group D,Thu Jun 25,19:00 UTC-7,Paraguay,0-0,Australia,0-0,Levi's Stadium, San Francisco Bay Area (Santa Clara),
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group E,Sun Jun 14,12:00 UTC-5,Germany,0-0,Curaçao,0-0,NRG Stadium, Houston,
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group E,Sun Jun 14,19:00 UTC-4,Ivory Coast,0-0,Ecuador,0-0,Lincoln Financial Field, Philadelphia,
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group E,Sat Jun 20,16:00 UTC-4,Germany,0-0,Ivory Coast,0-0,BMO Field, Toronto,
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group E,Sat Jun 20,19:00 UTC-5,Ecuador,0-0,Curaçao,0-0,Arrowhead Stadium, Kansas City,
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group E,Thu Jun 25,16:00 UTC-4,Curaçao,0-0,Ivory Coast,0-0,Lincoln Financial Field, Philadelphia,
FIFA World Cup 2026,Canada/USA/Mexico,Group Stage,Group E,Thu Jun 25,16:00 UTC-4,Ecuador,0-0,Germany,0-0,MetLife Stadium, New York/New Jersey (East Rutherford),
